File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:13:50
Begin Seconds,58400.08
End Seconds,58430.11
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.21978,1,-0.65934,1,-0.21978,1,1.036542,1,-0.042874,1,0.055484,
2,0,1,-0.51282,1,-0.3663,1,-0.21978,1,1.05924,1,-0.020176,1,0.035308,
3,0,1,-0.43956,1,-0.14652,1,0.43956,1,1.074372,1,-0.030264,1,0.052962,
4,0,1,0.07326,1,-0.43956,1,0.58608,1,1.05924,1,-0.05044,1,0.068094,
5,0,1,0.21978,1,-0.43956,1,0.58608,1,1.044108,1,-0.027742,1,0.058006,
6,0.015625,1,0.43956,1,0.07326,1,0.3663,1,1.041586,1,-0.010088,1,0.040352,
7,0.015625,1,0.58608,1,0.29304,1,0.3663,1,1.044108,1,-0.030264,1,0.055484,
8,0.015625,1,-0.3663,1,-0.14652,1,0.43956,1,1.061762,1,-0.045396,1,0.065572,
9,0.015625,1,-0.65934,1,-0.43956,1,0.14652,1,1.074372,1,-0.02522,1,0.058006,
10,0.015625,1,-0.80586,1,-0.29304,1,0.14652,1,1.07185,1,-0.017654,1,0.058006,
11,0.03125,1,-0.87912,1,-0.3663,1,0.65934,1,1.036542,1,-0.030264,1,7.313801E-02,
12,0.03125,1,-0.58608,1,-0.21978,1,0.51282,1,1.028976,1,-0.03783,1,0.078182,
13,0.03125,1,-0.43956,1,0.21978,1,0.07326,1,1.036542,1,-0.022698,1,0.060528,
14,0.03125,1,-0.29304,1,0,1,-0.14652,1,1.05924,1,-0.020176,1,0.047918,
15,0.03125,1,-0.58608,1,-0.3663,1,-0.29304,1,1.074372,1,-0.032786,1,0.068094,
16,0.046875,1,-0.87912,1,-0.43956,1,-0.21978,1,1.066806,1,-0.052962,1,7.061601E-02,
17,0.046875,1,-0.51282,1,-0.21978,1,-0.29304,1,1.044108,1,-0.032786,1,0.052962,
18,0.046875,1,0.07326,1,-0.07326,1,-0.21978,1,1.03402,1,-0.010088,1,0.05044,
19,0.046875,1,-0.51282,1,-0.29304,1,0.07326,1,1.044108,1,-0.02522,1,0.060528,
20,0.046875,1,-0.58608,1,0.14652,1,0.65934,1,1.07185,1,-0.05044,1,7.061601E-02,
21,0.046875,1,-0.43956,1,0.3663,1,1.0989,1,1.074372,1,-0.035308,1,0.065572,
22,0.0625,1,-0.21978,1,0.07326,1,1.02564,1,1.054196,1,-0.01261,1,0.055484,
23,0.0625,1,-0.29304,1,0.65934,1,0.65934,1,1.041586,1,-0.020176,1,0.060528,
24,0.0625,1,-0.58608,1,1.02564,1,0.87912,1,1.036542,1,-0.03783,1,7.313801E-02,
25,0.0625,1,-0.51282,1,0.29304,1,1.31868,1,1.05924,1,-0.032786,1,0.060528,
26,0.0625,1,0.07326,1,-0.7326,1,0.95238,1,1.074372,1,-0.017654,1,0.042874,
27,0.078125,1,0.14652,1,-1.0989,1,0.51282,1,1.069328,1,-0.032786,1,0.058006,
28,0.078125,1,0,1,-1.17216,1,-0.14652,1,1.056718,1,-0.040352,1,0.068094,
29,0.078125,1,0.21978,1,-1.17216,1,-0.29304,1,1.041586,1,-0.020176,1,0.05044,
30,0.078125,1,0.07326,1,-0.51282,1,-0.14652,1,1.039064,1,-0.01261,1,0.03783,
31,0.078125,1,-0.21978,1,0.14652,1,-0.65934,1,1.049152,1,-0.042874,1,0.060528,
32,0.09375,1,-0.43956,1,0.14652,1,-0.29304,1,1.07185,1,-0.05044,1,0.068094,
33,0.09375,1,-0.3663,1,-0.43956,1,0.29304,1,1.081938,1,-0.02522,1,0.045396,
34,0.09375,1,0.14652,1,-0.51282,1,-0.21978,1,1.061762,1,-0.020176,1,0.03783,
35,0.09375,1,0.51282,1,-0.51282,1,-0.21978,1,1.036542,1,-0.045396,1,0.065572,
36,0.09375,1,0.51282,1,-0.95238,1,0.07326,1,1.049152,1,-0.058006,1,7.061601E-02,
37,0.109375,1,-0.3663,1,-0.80586,1,-0.07326,1,1.064284,1,-0.05044,1,0.06305,
38,0.109375,1,-1.24542,1,-0.43956,1,0,1,1.061762,1,-0.02522,1,0.052962,
39,0.109375,1,-0.7326,1,-0.3663,1,0.21978,1,1.04663,1,-0.015132,1,0.045396,
40,0.109375,1,-0.07326,1,0.07326,1,0.07326,1,1.054196,1,-0.022698,1,0.052962,
