File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:15:53
Begin Seconds,58522.16
End Seconds,58553.23
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.14652,1,0,1,0.14652,1,0.030264,1,-1.026454,1,0.052962,
2,0,1,-0.43956,1,-0.14652,1,-0.3663,1,0.022698,1,-1.028976,1,0.047918,
3,0,1,-0.87912,1,-0.21978,1,-0.7326,1,0.027742,1,-1.006278,1,0.047918,
4,0,1,-1.24542,1,-0.14652,1,-0.43956,1,0.030264,1,-1.013844,1,0.058006,
5,0,1,-0.51282,1,-0.51282,1,-0.29304,1,0.040352,1,-1.018888,1,0.047918,
6,0.015625,1,0.51282,1,-0.14652,1,0.07326,1,0.055484,1,-1.0088,1,0.03783,
7,0.015625,1,0.58608,1,0.43956,1,0.3663,1,0.06305,1,-1.02141,1,0.055484,
8,0.015625,1,0.21978,1,0.51282,1,0,1,0.060528,1,-1.026454,1,0.065572,
9,0.015625,1,0.29304,1,0.65934,1,-0.07326,1,0.052962,1,-1.011322,1,0.045396,
10,0.015625,1,0.3663,1,0.43956,1,0.29304,1,0.027742,1,-1.011322,1,0.042874,
11,0.03125,1,0.07326,1,-0.14652,1,0.58608,1,0.027742,1,-1.023932,1,0.060528,
12,0.03125,1,0.29304,1,-0.29304,1,-0.07326,1,0.035308,1,-1.02141,1,0.060528,
13,0.03125,1,0.7326,1,0.14652,1,-0.14652,1,0.032786,1,-1.016366,1,0.055484,
14,0.03125,1,0.87912,1,-0.14652,1,0.21978,1,0.05044,1,-1.03402,1,7.566001E-02,
15,0.03125,1,0.3663,1,-0.65934,1,0.29304,1,0.06305,1,-1.023932,1,0.06305,
16,0.046875,1,-0.07326,1,-0.80586,1,0.07326,1,0.06305,1,-1.02141,1,0.058006,
17,0.046875,1,0.80586,1,-1.4652,1,0.7326,1,7.313801E-02,1,-1.03402,1,7.061601E-02,
18,0.046875,1,1.0989,1,-1.02564,1,1.0989,1,0.068094,1,-1.028976,1,0.065572,
19,0.046875,1,1.02564,1,0.07326,1,0.87912,1,0.058006,1,-1.018888,1,0.055484,
20,0.046875,1,1.24542,1,0.51282,1,-0.3663,1,0.045396,1,-1.028976,1,0.06305,
21,0.0625,1,0.87912,1,0.51282,1,-0.65934,1,0.02522,1,-1.013844,1,0.05044,
22,0.0625,1,0.43956,1,0.29304,1,0.21978,1,0.020176,1,-1.0088,1,0.045396,
23,0.0625,1,0.07326,1,-0.07326,1,0.87912,1,0.02522,1,-1.028976,1,7.313801E-02,
24,0.0625,1,-0.3663,1,-0.07326,1,0.51282,1,0.040352,1,-1.028976,1,0.068094,
25,0.0625,1,0.14652,1,0.51282,1,0.51282,1,0.06305,1,-1.011322,1,0.047918,
26,0.078125,1,0.14652,1,0.29304,1,1.0989,1,7.313801E-02,1,-1.016366,1,0.06305,
27,0.078125,1,-0.29304,1,-0.07326,1,0.58608,1,7.061601E-02,1,-1.031498,1,7.313801E-02,
28,0.078125,1,-0.58608,1,-0.65934,1,0.3663,1,0.05044,1,-1.02141,1,0.058006,
29,0.078125,1,-0.65934,1,-1.0989,1,0.43956,1,0.040352,1,-1.02141,1,0.052962,
30,0.078125,1,0,1,-0.51282,1,0.14652,1,0.027742,1,-1.031498,1,0.06305,
31,0.078125,1,0.29304,1,-0.14652,1,-0.58608,1,0.017654,1,-1.018888,1,0.05044,
32,0.09375,1,0,1,-0.43956,1,-0.51282,1,0.02522,1,-1.013844,1,0.058006,
33,0.09375,1,-0.21978,1,-0.43956,1,-0.3663,1,0.040352,1,-1.023932,1,0.06305,
34,0.09375,1,0.14652,1,0.51282,1,-0.51282,1,0.052962,1,-1.0088,1,0.05044,
35,0.09375,1,-0.29304,1,0.51282,1,-0.29304,1,0.058006,1,-1.016366,1,0.058006,
36,0.09375,1,-0.7326,1,-0.07326,1,-0.14652,1,0.065572,1,-1.023932,1,0.065572,
37,0.109375,1,-0.58608,1,-0.21978,1,-0.14652,1,0.065572,1,-1.011322,1,0.052962,
38,0.109375,1,-0.51282,1,0.07326,1,-0.29304,1,0.058006,1,-1.001234,1,0.040352,
39,0.109375,1,-0.43956,1,0.51282,1,-0.21978,1,0.040352,1,-1.0088,1,0.055484,
40,0.109375,1,-0.29304,1,0.07326,1,0.3663,1,0.020176,1,-1.02141,1,7.061601E-02,
41,0.109375,1,-0.14652,1,-0.51282,1,0.3663,1,0.020176,1,-1.011322,1,0.060528,
42,0.125,1,-0.14652,1,0.07326,1,0,1,0.02522,1,-1.006278,1,0.060528,
43,0.125,1,-0.14652,1,0.7326,1,-0.07326,1,0.040352,1,-1.026454,1,7.061601E-02,
44,0.125,1,-0.80586,1,0.51282,1,0,1,0.055484,1,-1.023932,1,0.065572,
45,0.125,1,-0.87912,1,0.14652,1,0,1,0.068094,1,-1.013844,1,0.052962,
46,0.125,1,-0.58608,1,0,1,0.21978,1,7.313801E-02,1,-1.018888,1,0.055484,
47,0.125,1,-0.58608,1,0.07326,1,0.21978,1,0.03783,1,-1.03402,1,0.06305,
48,0.140625,1,-0.51282,1,0.21978,1,0.29304,1,0.080704,1,-1.016366,1,0.06305,
49,0.578125,1,0.21978,1,-0.65934,1,0,1,7.566001E-02,1,-1.003756,1,0.045396,
50,0.578125,1,0.14652,1,0,1,-0.21978,1,0.065572,1,-1.02141,1,0.052962,
51,0.578125,1,0.14652,1,0.3663,1,-0.07326,1,0.055484,1,-1.023932,1,0.055484,
52,0.578125,1,0.07326,1,0.21978,1,0.29304,1,0.045396,1,-1.013844,1,0.060528,
53,0.578125,1,-0.14652,1,0.14652,1,0.29304,1,0.047918,1,-1.023932,1,0.065572,
54,0.59375,1,-0.3663,1,0.07326,1,0.21978,1,0.042874,1,-1.026454,1,0.052962,
55,0.59375,1,-0.58608,1,0.29304,1,-0.43956,1,0.032786,1,-1.03402,1,0.06305,
56,0.59375,1,-0.65934,1,0.14652,1,-0.43956,1,0.032786,1,-1.026454,1,0.068094,
57,0.59375,1,-0.29304,1,-0.07326,1,0.07326,1,0.032786,1,-1.018888,1,0.060528,
58,0.59375,1,0,1,-0.14652,1,0.07326,1,0.032786,1,-1.026454,1,0.068094,
59,0.609375,1,-0.07326,1,-0.43956,1,-0.07326,1,0.02522,1,-1.006278,1,0.052962,
60,0.609375,1,0.07326,1,-0.3663,1,0.14652,1,0.022698,1,-1.001234,1,0.060528,
61,0.609375,1,0.7326,1,-0.07326,1,0.43956,1,0.032786,1,-1.018888,1,7.566001E-02,
62,0.609375,1,0.58608,1,-0.29304,1,0.07326,1,0.040352,1,-1.016366,1,0.068094,
63,0.609375,1,0.80586,1,-0.14652,1,-0.07326,1,0.045396,1,-1.026454,1,0.060528,
64,0.625,1,0.3663,1,-0.21978,1,0.43956,1,0.052962,1,-1.028976,1,0.058006,
65,0.625,1,-0.14652,1,0.14652,1,0.43956,1,0.060528,1,-1.016366,1,0.042874,
66,0.625,1,0,1,0.29304,1,-0.07326,1,0.068094,1,-1.018888,1,0.05044,
67,0.625,1,0.14652,1,0.3663,1,-0.14652,1,7.566001E-02,1,-1.018888,1,0.05044,
68,0.625,1,-0.29304,1,0.14652,1,0.43956,1,7.566001E-02,1,-1.0088,1,0.047918,
69,0.625,1,0.07326,1,-0.58608,1,0.7326,1,0.078182,1,-1.0088,1,0.058006,
70,0.640625,1,0.43956,1,-0.29304,1,0.3663,1,0.085748,1,-1.02141,1,0.047918,
71,0.640625,1,-0.21978,1,0.14652,1,-0.07326,1,7.313801E-02,1,-1.026454,1,0.045396,
72,0.640625,1,-0.51282,1,-0.21978,1,-0.58608,1,0.060528,1,-1.018888,1,0.055484,
73,0.640625,1,0,1,-0.7326,1,-0.7326,1,0.05044,1,-1.006278,1,0.05044,
74,0.640625,1,-0.14652,1,-0.95238,1,-0.43956,1,0.042874,1,-1.026454,1,0.065572,
75,0.65625,1,0.29304,1,-0.95238,1,0,1,0.02522,1,-1.031498,1,0.068094,
76,0.65625,1,0.14652,1,-0.29304,1,-0.3663,1,0.015132,1,-1.0088,1,0.058006,
77,0.65625,1,-0.7326,1,-0.51282,1,0.29304,1,0.017654,1,-1.016366,1,7.313801E-02,
78,0.65625,1,-0.43956,1,-0.80586,1,0.65934,1,0.027742,1,-1.018888,1,0.068094,
79,0.65625,1,-0.65934,1,-0.58608,1,0,1,0.03783,1,-1.006278,1,0.05044,
80,0.671875,1,-0.87912,1,-0.3663,1,-0.29304,1,0.052962,1,-1.011322,1,0.068094,
81,0.671875,1,-0.65934,1,-0.14652,1,-0.07326,1,7.061601E-02,1,-1.011322,1,0.06305,
82,0.671875,1,-0.58608,1,-0.07326,1,0.21978,1,7.566001E-02,1,-1.006278,1,0.047918,
83,0.671875,1,-0.65934,1,0.21978,1,-0.21978,1,0.078182,1,-1.028976,1,0.068094,
84,0.671875,1,-0.58608,1,0.43956,1,-0.43956,1,7.061601E-02,1,-1.03402,1,0.06305,
85,0.6875,1,-0.51282,1,0.3663,1,-0.51282,1,0.047918,1,-1.013844,1,0.045396,
86,0.6875,1,-0.43956,1,0.7326,1,-0.21978,1,0.02522,1,-1.0088,1,0.052962,
87,0.6875,1,-0.3663,1,0.29304,1,-0.07326,1,0.027742,1,-1.023932,1,0.065572,
88,0.6875,1,-0.3663,1,-0.43956,1,-0.51282,1,0.045396,1,-1.011322,1,0.052962,
89,0.6875,1,-0.3663,1,-0.43956,1,0.14652,1,0.06305,1,-1.006278,1,0.040352,
90,0.703125,1,-0.29304,1,0.29304,1,1.0989,1,0.078182,1,-1.03402,1,0.055484,
91,0.703125,1,0.07326,1,0.07326,1,0.95238,1,7.313801E-02,1,-1.041586,1,0.058006,
92,0.703125,1,0.65934,1,-0.21978,1,0.7326,1,0.06305,1,-1.02141,1,0.047918,
93,0.703125,1,0.65934,1,-0.07326,1,0.3663,1,0.047918,1,-1.028976,1,0.060528,
94,0.703125,1,-0.21978,1,-0.21978,1,0.29304,1,0.035308,1,-1.031498,1,0.068094,
95,0.703125,1,0.14652,1,-0.58608,1,0,1,0.020176,1,-1.018888,1,0.047918,
96,0.71875,1,0.3663,1,-0.65934,1,0,1,0.017654,1,-1.016366,1,0.055484,
97,0.71875,1,0.07326,1,-0.29304,1,0.14652,1,0.047918,1,-1.036542,1,0.068094,
98,0.71875,1,0,1,-0.29304,1,0.21978,1,0.068094,1,-1.028976,1,0.065572,
99,0.71875,1,0.29304,1,-0.58608,1,-0.07326,1,7.566001E-02,1,-1.013844,1,0.058006,
100,0.71875,1,0,1,-0.58608,1,-0.58608,1,7.313801E-02,1,-1.026454,1,0.068094,
101,0.71875,1,-0.21978,1,0.21978,1,-0.21978,1,0.060528,1,-1.036542,1,7.061601E-02,
102,0.734375,1,-0.3663,1,0.14652,1,0.29304,1,0.047918,1,-1.028976,1,0.058006,
103,0.734375,1,-0.07326,1,-0.07326,1,0.21978,1,0.022698,1,-1.013844,1,0.055484,
104,0.734375,1,-0.07326,1,0.29304,1,-0.07326,1,0.01261,1,-1.026454,1,0.06305,
