File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:44:10
Begin Seconds,60220.69
End Seconds,60250.52
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.51282,1,-0.7326,1,0.29304,1,0.007566,1,0.451438,1,-0.849914,
2,0,1,0.58608,1,-0.51282,1,0,1,0.002522,1,0.431262,1,-0.8347821,
3,0,1,0.51282,1,-0.29304,1,0.07326,1,-0.005044,1,0.433784,1,-0.8347821,
4,0,1,0.43956,1,-0.65934,1,0.58608,1,-0.030264,1,0.446394,1,-0.8347821,
5,0,1,0.3663,1,-1.02564,1,0.7326,1,-0.045396,1,0.438828,1,-0.827216,
6,0.015625,1,0.07326,1,-0.65934,1,0.51282,1,-0.03783,1,0.436306,1,-0.822172,
7,0.015625,1,0.43956,1,-0.43956,1,0.21978,1,-0.022698,1,0.451438,1,-0.839826,
8,0.015625,1,0.87912,1,-0.3663,1,0.14652,1,-0.002522,1,0.443872,1,-0.847392,
9,0.015625,1,0.21978,1,-0.58608,1,0.3663,1,0.01261,1,0.42874,1,-0.83226,
10,0.015625,1,0,1,-0.65934,1,0.07326,1,0.007566,1,0.436306,1,-0.842348,
11,0.03125,1,-0.07326,1,-0.43956,1,-0.21978,1,-0.020176,1,0.446394,1,-0.849914,
12,0.03125,1,0,1,-0.14652,1,0,1,-0.042874,1,0.42874,1,-0.83226,
13,0.03125,1,-0.14652,1,0,1,0.7326,1,-0.03783,1,0.423696,1,-0.8171281,
14,0.03125,1,-0.07326,1,-0.7326,1,0.65934,1,-0.02522,1,0.44135,1,-0.8373041,
15,0.03125,1,0.3663,1,-0.58608,1,0.29304,1,0.005044,1,0.446394,1,-0.842348,
16,0.046875,1,0.7326,1,-0.21978,1,0.29304,1,0.007566,1,0.436306,1,-0.822172,
17,0.046875,1,0.80586,1,-0.65934,1,-0.07326,1,-0.010088,1,0.436306,1,-0.829738,
18,0.046875,1,0.80586,1,-0.87912,1,0.3663,1,-0.020176,1,0.448916,1,-0.84487,
19,0.046875,1,0.80586,1,-0.80586,1,0.07326,1,-0.035308,1,0.438828,1,-0.8373041,
20,0.046875,1,-0.07326,1,-0.7326,1,-0.29304,1,-0.030264,1,0.426218,1,-0.814606,
21,0.0625,1,-0.14652,1,-0.51282,1,-0.21978,1,-0.005044,1,0.44135,1,-0.822172,
22,0.0625,1,0.43956,1,-0.51282,1,-0.3663,1,0.005044,1,0.451438,1,-0.84487,
23,0.0625,1,0.29304,1,-0.7326,1,-0.43956,1,0.005044,1,0.438828,1,-0.842348,
24,0.0625,1,-0.29304,1,-0.51282,1,-0.3663,1,0,1,0.436306,1,-0.842348,
