File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:44:02
Begin Seconds,6229.89
End Seconds,6242.765
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.07326,1,0.58608,1,0.43956,1,0.085748,1,-0.032786,1,1.076894,
2,0.1557617,1,-0.3663,1,0.87912,1,0.58608,1,0.080704,1,-0.002522,1,1.041586,
3,0.21875,1,-0.14652,1,0.65934,1,0.07326,1,0.090792,1,-0.035308,1,1.08446,
4,0.25,1,0.29304,1,0,1,-0.07326,1,9.835801E-02,1,-0.030264,1,1.086982,
5,0.296875,1,-0.51282,1,0.43956,1,0.65934,1,9.331401E-02,1,0.020176,1,1.03402,
6,0.34375,1,0.51282,1,0.65934,1,0.14652,1,0.10088,1,-0.007566,1,1.051674,
7,0.390625,1,-0.29304,1,0.58608,1,0.87912,1,9.331401E-02,1,-0.005044,1,1.061762,
8,0.421875,1,-0.51282,1,1.61172,1,0.80586,1,9.835801E-02,1,-0.005044,1,1.066806,
9,0.46875,1,-0.07326,1,0.21978,1,0.80586,1,0.08827,1,-0.032786,1,1.066806,
10,0.515625,1,0.29304,1,0.65934,1,0.7326,1,0.085748,1,-0.032786,1,1.069328,
11,0.546875,1,0.07326,1,0.43956,1,0.51282,1,0.083226,1,-0.040352,1,1.081938,
12,0.59375,1,-0.07326,1,-0.43956,1,0.29304,1,0.090792,1,-0.027742,1,1.069328,
13,0.640625,1,-0.14652,1,-0.29304,1,1.17216,1,9.835801E-02,1,0.002522,1,1.051674,
14,0.671875,1,0,1,0.7326,1,0.51282,1,9.835801E-02,1,0.020176,1,1.03402,
15,0.71875,1,0.07326,1,0.51282,1,0.80586,1,0.078182,1,-0.017654,1,1.069328,
16,0.765625,1,-0.29304,1,0.29304,1,0.29304,1,0.083226,1,-0.01261,1,1.074372,
17,0.8129883,1,-0.29304,1,0.29304,1,-0.07326,1,0.090792,1,-0.01261,1,1.066806,
18,0.84375,1,0.14652,1,0.51282,1,0.14652,1,9.331401E-02,1,-0.01261,1,1.061762,
19,0.890625,1,-0.21978,1,0.07326,1,0.95238,1,9.331401E-02,1,-0.042874,1,1.081938,
20,0.9379883,1,-0.43956,1,-0.51282,1,0.51282,1,0.10088,1,-0.030264,1,1.079416,
21,0.9848633,1,-0.7326,1,0.14652,1,0.3663,1,9.835801E-02,1,-0.03783,1,1.094548,
22,1.015625,1,-0.65934,1,-0.65934,1,0.3663,1,9.331401E-02,1,-0.017654,1,1.07185,
23,1.062988,1,1.0989,1,0.07326,1,0.21978,1,0.078182,1,0.02522,1,1.03402,
24,1.109863,1,0.7326,1,-0.3663,1,0.14652,1,0.083226,1,-0.030264,1,1.089504,
25,1.140625,1,-2.78388,1,4.83516,1,-10.18314,1,-0.007566,1,0.03783,1,1.04663,
26,1.187988,1,-0.14652,1,-1.02564,1,-11.7216,1,0.027742,1,0.015132,1,1.04663,
27,1.234863,1,-0.65934,1,0.07326,1,-1.4652,1,0.052962,1,0.002522,1,1.04663,
28,1.265625,1,-0.43956,1,0.29304,1,2.12454,1,9.331401E-02,1,-0.010088,1,1.066806,
29,1.312988,1,0.21978,1,0.21978,1,2.49084,1,9.583601E-02,1,-0.017654,1,1.069328,
30,1.359863,1,-0.3663,1,0.58608,1,1.97802,1,0.105924,1,0.01261,1,1.04663,
31,1.405762,1,-0.07326,1,0.3663,1,1.90476,1,0.103402,1,-0.022698,1,1.079416,
32,1.437988,1,-0.43956,1,1.02564,1,0.07326,1,0.085748,1,0.017654,1,1.036542,
33,1.484863,1,-0.7326,1,-0.3663,1,-0.43956,1,9.835801E-02,1,-0.007566,1,1.054196,
34,1.530762,1,0.29304,1,-0.21978,1,2.71062,1,0.085748,1,-0.005044,1,1.054196,
35,1.562988,1,-0.07326,1,0.87912,1,1.8315,1,0.10088,1,0.01261,1,1.039064,
36,1.609863,1,-0.29304,1,0.51282,1,1.24542,1,0.08827,1,-0.005044,1,1.061762,
37,1.655762,1,-0.07326,1,1.31868,1,2.05128,1,9.583601E-02,1,-0.027742,1,1.079416,
38,1.702637,1,0.21978,1,0.29304,1,-0.43956,1,7.566001E-02,1,-0.007566,1,1.066806,
39,1.734863,1,0.7326,1,0.58608,1,0.14652,1,0.078182,1,-0.032786,1,1.074372,
40,1.780762,1,-0.21978,1,0.87912,1,1.61172,1,7.061601E-02,1,0,1,1.04663,
41,1.827637,1,-0.14652,1,0.3663,1,2.12454,1,0.085748,1,-0.02522,1,1.076894,
42,1.875,1,-0.43956,1,1.17216,1,3.73626,1,0.085748,1,-0.020176,1,1.069328,
43,1.921875,1,0.7326,1,0.21978,1,4.54212,1,0.068094,1,-0.022698,1,1.066806,
44,1.952637,1,-0.65934,1,0.7326,1,3.07692,1,7.061601E-02,1,0.005044,1,1.04663,
45,2,1,0.87912,1,0.29304,1,3.51648,1,9.583601E-02,1,0.010088,1,1.03402,
46,2.046875,1,0.65934,1,1.0989,1,2.41758,1,0.078182,1,0.015132,1,1.03402,
47,2.077637,1,0.3663,1,0.58608,1,2.41758,1,7.313801E-02,1,-0.007566,1,1.069328,
48,2.125,1,0.07326,1,0.21978,1,1.90476,1,0.10088,1,-0.03783,1,1.086982,
49,2.171875,1,0.21978,1,0.95238,1,2.5641,1,0.103402,1,-0.030264,1,1.089504,
50,2.21875,1,-0.14652,1,-0.07326,1,0.95238,1,0.085748,1,-0.002522,1,1.049152,
51,2.25,1,-0.07326,1,1.17216,1,1.24542,1,9.835801E-02,1,-0.002522,1,1.036542,
52,2.296875,1,-0.43956,1,0,1,0.95238,1,0.090792,1,-0.027742,1,1.081938,
53,2.34375,1,0.21978,1,0.51282,1,1.39194,1,0.090792,1,-0.030264,1,1.07185,
54,2.375,1,-0.29304,1,1.24542,1,2.1978,1,0.080704,1,-0.035308,1,1.074372,
55,2.421875,1,-0.14652,1,0.07326,1,0.43956,1,9.331401E-02,1,0.02522,1,1.039064,
56,2.46875,1,0.3663,1,0.51282,1,-0.07326,1,0.085748,1,-0.030264,1,1.074372,
57,2.5,1,-0.14652,1,0.3663,1,0.80586,1,0.08827,1,-0.01261,1,1.061762,
58,2.546875,1,0.7326,1,0.87912,1,0.21978,1,0.08827,1,0.005044,1,1.04663,
59,2.59375,1,0.21978,1,0.29304,1,0.07326,1,9.835801E-02,1,0.01261,1,1.039064,
