File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:06:27
Begin Seconds,3974.875
End Seconds,3987.89
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.7326,1,-0.7326,1,0.14652,1,0.007566,1,-0.030264,1,-0.9659261,
2,0.1398926,1,-0.3663,1,-0.21978,1,-0.29304,1,0.032786,1,-7.061601E-02,1,-0.940706,
3,0.1708984,1,-0.51282,1,0.21978,1,0.3663,1,0.022698,1,-0.047918,1,-0.950794,
4,0.2180176,1,0.29304,1,0,1,0.3663,1,0.047918,1,-0.090792,1,-0.930618,
5,0.2648926,1,-0.21978,1,0,1,-0.14652,1,0.030264,1,-0.047918,1,-0.9608821,
6,0.3120117,1,-0.51282,1,0.29304,1,0.87912,1,0.032786,1,-9.835801E-02,1,-0.923052,
7,0.3588867,1,0.14652,1,-0.43956,1,0.65934,1,0.020176,1,-7.566001E-02,1,-0.923052,
8,0.3898926,1,0.58608,1,0.51282,1,-0.14652,1,0.022698,1,-0.068094,1,-0.9457501,
9,0.4370117,1,0.07326,1,-0.3663,1,-0.58608,1,0.017654,1,-0.047918,1,-0.968448,
10,0.4838867,1,0.21978,1,0,1,0,1,0.017654,1,-0.040352,1,-0.9659261,
11,0.5310059,1,0.7326,1,0.14652,1,0.29304,1,0.015132,1,-0.060528,1,-0.935662,
12,0.5620117,1,1.0989,1,-0.51282,1,0.7326,1,0.020176,1,-0.085748,1,-0.92053,
13,0.6088867,1,0.43956,1,-0.21978,1,0.3663,1,0.032786,1,-0.058006,1,-0.950794,
14,0.6560059,1,0.29304,1,-0.07326,1,0,1,0.015132,1,-0.052962,1,-0.9634041,
15,0.6870117,1,-0.29304,1,-0.07326,1,0.65934,1,0.022698,1,-0.085748,1,-0.923052,
16,0.7338867,1,-0.43956,1,-0.43956,1,0.3663,1,0.030264,1,-0.065572,1,-0.930618,
17,0.7810059,1,0,1,-0.95238,1,-0.14652,1,0.020176,1,-0.06305,1,-0.973492,
18,0.8278809,1,-0.14652,1,0,1,0.58608,1,0.022698,1,-7.313801E-02,1,-0.9457501,
19,0.875,1,-0.3663,1,-0.29304,1,-0.29304,1,0.005044,1,-0.058006,1,-0.935662,
20,0.9060059,1,0.58608,1,0.51282,1,0.3663,1,0.032786,1,-0.052962,1,-0.97097,
