File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:25:46
Begin Seconds,5133.609
End Seconds,5146.671
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0,1,0.65934,1,0.51282,1,0.052962,1,-1.003756,1,0.090792,
2,0.1411133,1,-0.58608,1,0.43956,1,-0.21978,1,0.040352,1,-0.9961901,1,0.085748,
3,0.1870117,1,-0.07326,1,-0.07326,1,0.29304,1,0.060528,1,-1.061762,1,0.108446,
4,0.2192383,1,-0.43956,1,0.29304,1,0.3663,1,0.060528,1,-1.04663,1,0.13871,
5,0.2661133,1,0.21978,1,0.51282,1,0.80586,1,0.052962,1,-1.036542,1,0.116012,
6,0.3120117,1,0.14652,1,0.43956,1,0.29304,1,0.045396,1,-1.054196,1,0.141232,
7,0.3588867,1,-0.80586,1,0.43956,1,0.80586,1,0.05044,1,-1.018888,1,0.08827,
8,0.3911133,1,0.07326,1,-0.07326,1,0.07326,1,0.058006,1,-1.05924,1,0.133666,
9,0.4370117,1,0.29304,1,0.14652,1,0.07326,1,0.052962,1,-0.9961901,1,9.835801E-02,
10,0.4838867,1,0.65934,1,0.65934,1,0.95238,1,0.05044,1,-1.041586,1,0.133666,
11,0.5161133,1,0.65934,1,0.80586,1,0.58608,1,0.060528,1,-1.061762,1,0.143754,
12,0.5620117,1,-0.14652,1,-0.14652,1,0.14652,1,0.058006,1,-1.04663,1,0.118534,
13,0.6088867,1,0.3663,1,-0.3663,1,0.21978,1,0.047918,1,-0.9987121,1,0.090792,
14,0.65625,1,-0.58608,1,0,1,0.21978,1,0.042874,1,-0.9987121,1,0.083226,
15,0.6870117,1,-0.3663,1,-0.14652,1,-0.07326,1,0.052962,1,-1.0088,1,0.090792,
16,0.7338867,1,0.21978,1,0.95238,1,-0.65934,1,0.055484,1,-0.9961901,1,9.583601E-02,
17,0.78125,1,-0.29304,1,0.3663,1,0,1,0.052962,1,-1.006278,1,0.083226,
18,0.828125,1,0.65934,1,0.21978,1,-0.3663,1,0.045396,1,-1.049152,1,0.146276,
19,0.8588867,1,-0.65934,1,-0.65934,1,-0.29304,1,0.05044,1,-1.041586,1,0.141232,
20,0.90625,1,-0.14652,1,0.21978,1,0.07326,1,0.060528,1,-1.003756,1,0.083226,
21,0.953125,1,-0.65934,1,0.43956,1,0.43956,1,0.058006,1,-1.061762,1,0.13871,
22,1,1,0,1,0.14652,1,0.29304,1,0.052962,1,-0.991146,1,7.313801E-02,
23,1.03125,1,-0.58608,1,0.3663,1,-0.07326,1,0.035308,1,-1.054196,1,0.131144,
24,1.078125,1,0,1,0.51282,1,-0.51282,1,0.05044,1,-1.006278,1,9.331401E-02,
25,1.125,1,-0.07326,1,-0.07326,1,0.7326,1,0.047918,1,-1.039064,1,0.11349,
26,1.171875,1,-0.07326,1,0.43956,1,0.51282,1,0.05044,1,-1.04663,1,0.146276,
27,1.219238,1,-0.07326,1,0.21978,1,0.14652,1,0.045396,1,-1.064284,1,0.141232,
28,1.25,1,-0.3663,1,0.14652,1,0.3663,1,0.058006,1,-1.049152,1,0.133666,
29,1.296875,1,0,1,0.21978,1,1.39194,1,0.058006,1,-1.039064,1,0.128622,
30,1.344238,1,-0.51282,1,-0.21978,1,-0.14652,1,0.058006,1,-1.061762,1,0.146276,
31,1.391113,1,-0.07326,1,-0.14652,1,-0.29304,1,0.045396,1,-1.001234,1,9.583601E-02,
32,1.437012,1,0,1,0.65934,1,0,1,0.060528,1,-1.041586,1,0.116012,
33,1.469238,1,-0.3663,1,0.14652,1,0.07326,1,0.055484,1,-1.044108,1,0.128622,
34,1.516113,1,-0.07326,1,0.14652,1,0.3663,1,0.05044,1,-1.054196,1,0.13871,
35,1.562012,1,-1.31868,1,-0.43956,1,0.65934,1,0.058006,1,-0.9987121,1,9.583601E-02,
36,1.608887,1,0.29304,1,0.51282,1,0.80586,1,0.060528,1,-1.054196,1,0.143754,
37,1.641113,1,-0.21978,1,0.51282,1,0.65934,1,0.060528,1,-1.016366,1,0.103402,
38,1.687012,1,0.3663,1,-0.58608,1,1.0989,1,0.052962,1,-1.03402,1,0.103402,
39,1.733887,1,1.24542,1,-0.07326,1,0.7326,1,9.583601E-02,1,-1.08446,1,0.1261,
40,1.78125,1,-0.51282,1,2.12454,1,-0.65934,1,0.060528,1,-1.044108,1,7.061601E-02,
41,1.812012,1,-0.87912,1,-1.02564,1,0.80586,1,0.045396,1,-1.003756,1,0.108446,
42,1.858887,1,-0.58608,1,-4.83516,1,0.43956,1,0.045396,1,-1.003756,1,0.1261,
43,1.90625,1,0,1,-3.22344,1,0.07326,1,0.047918,1,-1.031498,1,0.133666,
44,1.953125,1,0.3663,1,-1.24542,1,0.21978,1,0.052962,1,-1.003756,1,0.118534,
45,1.983887,1,0.14652,1,0.87912,1,0.14652,1,0.058006,1,-1.013844,1,0.105924,
46,2.03125,1,-0.29304,1,2.71062,1,-0.58608,1,0.055484,1,-1.064284,1,0.128622,
47,2.078125,1,-0.21978,1,1.97802,1,-0.14652,1,0.058006,1,-1.011322,1,0.08827,
48,2.125,1,-0.43956,1,1.90476,1,0.21978,1,0.042874,1,-1.016366,1,9.835801E-02,
49,2.15625,1,0.29304,1,-0.07326,1,0.3663,1,0.047918,1,-1.0088,1,0.080704,
50,2.203125,1,0.21978,1,0.65934,1,0.43956,1,0.045396,1,-1.061762,1,0.118534,
51,2.25,1,-0.7326,1,-0.58608,1,0.95238,1,0.052962,1,-1.069328,1,0.1261,
52,2.296875,1,-0.58608,1,-1.68498,1,0.29304,1,0.045396,1,-1.0088,1,0.080704,
53,2.328125,1,-0.65934,1,-2.1978,1,-0.21978,1,0.047918,1,-0.991146,1,0.085748,
54,2.375,1,-0.7326,1,-2.05128,1,0.7326,1,0.065572,1,-1.036542,1,0.116012,
55,2.421875,1,0.21978,1,-1.68498,1,0.21978,1,0.06305,1,-1.054196,1,0.136188,
56,2.469238,1,0,1,-3.44322,1,0.43956,1,0.05044,1,-1.054196,1,0.141232,
57,2.5,1,-0.07326,1,-2.27106,1,0.95238,1,0.058006,1,-1.026454,1,0.108446,
58,2.546875,1,-0.7326,1,-1.31868,1,0.80586,1,0.045396,1,-0.9961901,1,0.078182,
59,2.594238,1,-0.43956,1,-2.78388,1,0.43956,1,0.06305,1,-1.001234,1,0.078182,
60,2.641113,1,-0.51282,1,-0.21978,1,-0.29304,1,0.042874,1,-1.011322,1,9.331401E-02,
61,2.671875,1,-0.3663,1,0.51282,1,0.14652,1,0.055484,1,-1.051674,1,0.133666,
62,2.719238,1,-0.07326,1,0.58608,1,0.29304,1,0.052962,1,-1.05924,1,0.146276,
63,2.766113,1,-0.87912,1,0.87912,1,0.29304,1,0.047918,1,-1.013844,1,9.331401E-02,
64,2.812012,1,-1.02564,1,3.51648,1,0.58608,1,0.042874,1,-1.011322,1,0.103402,
65,2.858887,1,-0.51282,1,4.90842,1,-0.14652,1,0.05044,1,-1.0088,1,9.835801E-02,
66,2.891113,1,-0.3663,1,5.64102,1,-0.07326,1,0.05044,1,-1.016366,1,9.331401E-02,
