File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:58:49
Begin Seconds,82716.67
End Seconds,82729.17
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.29304,1,-0.29304,1,-0.07326,1,1.023932,1,-0.020176,1,0.010088,
2,0.046875,1,-0.65934,1,0.21978,1,0,1,1.051674,1,-0.027742,1,0.022698,
3,0.078125,1,-0.3663,1,0.29304,1,-0.07326,1,1.041586,1,-0.040352,1,0.035308,
4,0.125,1,-0.95238,1,0.65934,1,0.07326,1,1.026454,1,-0.052962,1,0.042874,
5,0.171875,1,-1.17216,1,-0.14652,1,0.43956,1,1.054196,1,-0.035308,1,0.022698,
6,0.21875,1,0,1,-0.21978,1,0.65934,1,1.028976,1,-0.022698,1,0.022698,
7,0.25,1,-0.87912,1,0.07326,1,0.3663,1,1.05924,1,-0.058006,1,0.042874,
8,0.296875,1,-1.0989,1,0.21978,1,0.95238,1,1.069328,1,-0.045396,1,0.040352,
9,0.34375,1,-0.58608,1,0.07326,1,0.14652,1,1.026454,1,-0.047918,1,0.027742,
10,0.375,1,-0.7326,1,0.51282,1,0.51282,1,1.028976,1,-0.027742,1,0.022698,
11,0.421875,1,-0.80586,1,0.58608,1,1.0989,1,1.016366,1,-0.01261,1,0.01261,
12,0.453125,1,-0.51282,1,-0.21978,1,-0.14652,1,1.054196,1,-0.032786,1,0.017654,
13,0.5,1,-1.02564,1,-0.3663,1,0.51282,1,1.023932,1,-0.032786,1,0.030264,
14,0.546875,1,-0.87912,1,-0.7326,1,0.7326,1,1.041586,1,-0.052962,1,0.042874,
15,0.578125,1,-1.61172,1,0.07326,1,0.07326,1,1.056718,1,-0.047918,1,0.03783,
16,0.625,1,-0.51282,1,0.14652,1,-0.07326,1,1.023932,1,-0.027742,1,0.027742,
17,0.671875,1,-0.7326,1,0.29304,1,0.07326,1,1.051674,1,-0.027742,1,0.020176,
18,0.703125,1,-0.58608,1,-0.29304,1,0.3663,1,1.036542,1,-0.027742,1,0.015132,
19,0.75,1,-0.7326,1,0.80586,1,1.0989,1,1.061762,1,-0.055484,1,0.040352,
20,0.796875,1,-0.3663,1,-0.21978,1,-0.65934,1,1.039064,1,-0.058006,1,0.045396,
21,0.828125,1,-1.17216,1,0.80586,1,0.14652,1,1.028976,1,-0.058006,1,0.042874,
22,0.875,1,0,1,-0.7326,1,0.14652,1,1.044108,1,-0.030264,1,0.022698,
23,0.921875,1,0,1,0.14652,1,0.14652,1,1.028976,1,-0.02522,1,0.022698,
24,0.953125,1,0.3663,1,-0.21978,1,0.29304,1,1.051674,1,-0.05044,1,0.040352,
25,1,1,-0.3663,1,-0.29304,1,-0.07326,1,1.061762,1,-0.047918,1,0.03783,
26,1.046875,1,-0.07326,1,-0.43956,1,-0.43956,1,1.054196,1,-0.060528,1,0.042874,
27,1.078125,1,-0.29304,1,-0.29304,1,-0.14652,1,1.064284,1,-0.042874,1,0.035308,
28,1.125,1,0,1,0.80586,1,0.29304,1,1.056718,1,-0.045396,1,0.022698,
29,1.171875,1,-0.3663,1,-0.87912,1,0.3663,1,1.041586,1,-0.052962,1,0.05044,
30,1.203125,1,0,1,0,1,0.29304,1,1.061762,1,-0.065572,1,0.05044,
31,1.25,1,-0.43956,1,-0.51282,1,0.21978,1,1.03402,1,-0.052962,1,0.05044,
32,1.296875,1,-0.65934,1,0.07326,1,0.21978,1,1.04663,1,-0.020176,1,0.007566,
33,1.328125,1,0.21978,1,0.29304,1,0.14652,1,1.054196,1,-0.05044,1,0.040352,
34,1.375,1,-0.21978,1,-0.87912,1,0,1,1.049152,1,-0.030264,1,0.022698,
35,1.421875,1,0.14652,1,-0.29304,1,0.21978,1,1.023932,1,-0.042874,1,0.040352,
36,1.453125,1,-0.07326,1,0.07326,1,0.21978,1,1.051674,1,-0.045396,1,0.027742,
37,1.5,1,-0.43956,1,-0.51282,1,-0.14652,1,1.03402,1,-0.030264,1,0.002522,
38,1.546875,1,-1.17216,1,0,1,0.29304,1,1.069328,1,-0.042874,1,0.030264,
39,1.578125,1,-0.80586,1,0.29304,1,-0.3663,1,1.041586,1,-0.055484,1,0.040352,
40,1.625,1,-0.21978,1,-0.07326,1,0.3663,1,1.066806,1,-0.027742,1,0.02522,
41,1.671875,1,-0.43956,1,0.29304,1,0.29304,1,1.036542,1,-0.03783,1,0.040352,
42,1.703125,1,-0.3663,1,-0.58608,1,0.51282,1,1.023932,1,-0.02522,1,0.02522,
43,1.75,1,-0.43956,1,0.7326,1,-0.80586,1,1.076894,1,-0.068094,1,0.027742,
44,1.78125,1,-0.43956,1,0.07326,1,-0.58608,1,1.061762,1,-0.030264,1,0.015132,
45,1.828125,1,-0.43956,1,-0.3663,1,-0.14652,1,1.05924,1,-0.055484,1,0.040352,
46,1.875,1,-1.17216,1,0.65934,1,0.29304,1,1.05924,1,-0.047918,1,0.030264,
47,1.921875,1,-0.21978,1,-0.21978,1,0.80586,1,1.03402,1,-0.05044,1,0.040352,
48,1.953125,1,-0.07326,1,-0.07326,1,0.29304,1,1.028976,1,-0.045396,1,0.032786,
49,2,1,-1.31868,1,-1.31868,1,0,1,1.081938,1,-0.06305,1,0.040352,
50,2.046875,1,-17.28936,1,-0.51282,1,0.07326,1,1.031498,1,-7.313801E-02,1,-0.090792,
51,2.078125,1,-11.57508,1,0.21978,1,0.95238,1,1.02141,1,-0.060528,1,0,
52,2.125,1,0.58608,1,-0.65934,1,1.02564,1,1.064284,1,-0.020176,1,-0.020176,
53,2.171875,1,0.65934,1,-0.29304,1,-0.3663,1,1.064284,1,-0.02522,1,0.032786,
54,2.203125,1,4.46886,1,-0.51282,1,-0.80586,1,1.041586,1,-0.040352,1,7.313801E-02,
55,2.25,1,3.80952,1,0.21978,1,0.29304,1,1.031498,1,-0.017654,1,0.032786,
56,2.296875,1,5.34798,1,0.51282,1,-0.07326,1,1.054196,1,-0.032786,1,0.05044,
57,2.328125,1,2.49084,1,-0.29304,1,-0.65934,1,1.023932,1,-0.042874,1,0.055484,
58,2.375,1,0.51282,1,-0.29304,1,0.14652,1,1.028976,1,-0.060528,1,0.030264,
59,2.421875,1,-1.53846,1,-0.14652,1,-0.21978,1,1.023932,1,-0.02522,1,0.020176,
60,2.453125,1,-3.00366,1,-0.43956,1,0.07326,1,1.049152,1,-7.061601E-02,1,0.015132,
61,2.5,1,-2.27106,1,-0.51282,1,0.65934,1,1.04663,1,-0.045396,1,0.017654,
62,2.53125,1,0.58608,1,-0.29304,1,-0.43956,1,1.056718,1,-0.03783,1,0.002522,
63,2.578125,1,0.87912,1,0,1,-0.14652,1,1.031498,1,-0.058006,1,0.030264,
64,2.625,1,3.51648,1,-0.14652,1,-0.43956,1,1.03402,1,-0.027742,1,0.010088,
65,2.65625,1,6.00732,1,-0.21978,1,0.51282,1,1.028976,1,-0.030264,1,0.027742,
66,2.703125,1,5.34798,1,-0.29304,1,0.21978,1,1.016366,1,-0.035308,1,0.020176,
67,2.75,1,3.51648,1,0.3663,1,-0.14652,1,1.056718,1,-0.035308,1,0.005044,
68,2.78125,1,1.24542,1,0.29304,1,-0.21978,1,1.031498,1,-0.01261,1,0.022698,
69,2.828125,1,0.80586,1,-0.51282,1,-0.14652,1,1.026454,1,-0.022698,1,0.01261,
70,2.875,1,-1.68498,1,0.3663,1,0.51282,1,1.031498,1,-0.035308,1,0.035308,
71,2.90625,1,-3.36996,1,0,1,0.29304,1,1.061762,1,-0.042874,1,0.022698,
72,2.953125,1,0.21978,1,-0.87912,1,0.29304,1,1.03402,1,-0.045396,1,0.020176,
73,3,1,5.05494,1,-0.21978,1,-0.07326,1,1.039064,1,-0.015132,1,0.022698,
74,3.03125,1,5.34798,1,-0.21978,1,0.14652,1,1.006278,1,-0.02522,1,0.01261,
75,3.078125,1,2.5641,1,-0.65934,1,1.0989,1,1.0088,1,-0.022698,1,0.01261,
76,3.125,1,-0.14652,1,-0.07326,1,0.43956,1,1.03402,1,-0.042874,1,0.02522,
77,3.15625,1,-8.571421,1,0,1,0.95238,1,1.044108,1,-0.058006,1,0.022698,
78,3.203125,1,-7.03296,1,0.07326,1,0.58608,1,1.039064,1,-0.05044,1,0.027742,
79,3.25,1,-5.8608,1,0.58608,1,0.87912,1,1.054196,1,-0.06305,1,0.065572,
80,3.28125,1,-4.7619,1,0.87912,1,0.3663,1,1.028976,1,-0.035308,1,0.060528,
81,3.328125,1,-2.34432,1,-0.21978,1,0.7326,1,1.061762,1,-0.042874,1,0.040352,
82,3.375,1,-4.61538,1,0.07326,1,0.51282,1,1.039064,1,-0.055484,1,0.055484,
83,3.40625,1,-6.44688,1,0.29304,1,0.65934,1,1.026454,1,-0.020176,1,0.027742,
84,3.453125,1,1.02564,1,-0.3663,1,0.14652,1,1.054196,1,-0.020176,1,0.05044,
85,3.5,1,2.49084,1,0.3663,1,-0.14652,1,1.041586,1,-0.042874,1,0.055484,
86,3.53125,1,1.90476,1,-0.07326,1,0.3663,1,1.023932,1,-7.566001E-02,1,0.065572,
87,3.578125,1,-0.3663,1,0.3663,1,-0.14652,1,1.026454,1,-0.017654,1,0.020176,
