File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:56:50
Begin Seconds,82569.05
End Seconds,82610.72
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-1.02564,1,0.51282,1,0.43956,1,1.023932,1,-0.03783,1,0.027742,
2,0.140625,1,-0.7326,1,-0.58608,1,0.21978,1,1.044108,1,-0.047918,1,0.035308,
3,0.203125,1,-0.43956,1,-0.14652,1,0.14652,1,1.056718,1,-0.03783,1,0.035308,
4,0.234375,1,0.21978,1,0.14652,1,0.58608,1,1.069328,1,-0.045396,1,0.027742,
5,0.28125,1,0.95238,1,0.43956,1,0.51282,1,1.049152,1,-0.027742,1,0.01261,
6,0.3125,1,-0.29304,1,-0.07326,1,0.3663,1,1.041586,1,-0.058006,1,0.045396,
7,0.359375,1,-0.29304,1,0,1,-0.14652,1,1.049152,1,-0.035308,1,0.035308,
8,0.40625,1,-0.21978,1,0,1,-0.58608,1,1.041586,1,-0.035308,1,0.022698,
9,0.4375,1,0.3663,1,-0.14652,1,0.87912,1,1.036542,1,-0.022698,1,0.022698,
10,0.484375,1,-0.29304,1,-0.21978,1,1.24542,1,1.05924,1,-0.035308,1,0.030264,
11,0.53125,1,-0.65934,1,-0.29304,1,0.07326,1,1.04663,1,-0.040352,1,0.042874,
12,0.5625,1,-0.87912,1,-0.21978,1,0.51282,1,1.064284,1,-0.030264,1,0.027742,
13,0.609375,1,-0.7326,1,-0.29304,1,-0.21978,1,1.04663,1,-0.05044,1,0.032786,
14,0.65625,1,-0.65934,1,-0.87912,1,0.3663,1,1.031498,1,-0.03783,1,0.02522,
15,0.6875,1,0.3663,1,0,1,-0.65934,1,1.07185,1,-0.020176,1,0.017654,
16,0.734375,1,-0.21978,1,-0.14652,1,0.95238,1,1.04663,1,-0.030264,1,0.027742,
17,0.765625,1,-0.80586,1,0.07326,1,0.29304,1,1.044108,1,-0.017654,1,0.01261,
18,0.8125,1,-0.51282,1,-0.29304,1,0.43956,1,1.074372,1,-0.030264,1,0.015132,
19,0.859375,1,-0.43956,1,-0.3663,1,0.51282,1,1.054196,1,-0.05044,1,0.040352,
