File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:53:07
Begin Seconds,82375
End Seconds,82387.55
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.95238,1,0.21978,1,0.14652,1,0.027742,1,-1.011322,1,0.047918,
2,0.140625,1,-1.24542,1,-0.21978,1,0.29304,1,0.015132,1,-0.9961901,1,0.01261,
3,0.171875,1,-0.65934,1,-0.07326,1,0.43956,1,0.030264,1,-1.026454,1,0.060528,
4,0.21875,1,-0.29304,1,0.21978,1,0.21978,1,0.01261,1,-1.0088,1,0.042874,
5,0.25,1,-0.80586,1,-0.29304,1,-0.21978,1,0.010088,1,-1.006278,1,0.020176,
6,0.296875,1,0,1,-0.14652,1,-0.07326,1,0.03783,1,-1.006278,1,0.035308,
7,0.34375,1,-0.58608,1,0.58608,1,-0.21978,1,0.017654,1,-1.03402,1,0.045396,
8,0.375,1,-0.7326,1,0.14652,1,0.65934,1,0.03783,1,-1.028976,1,0.03783,
9,0.421875,1,0,1,-0.29304,1,0.65934,1,0.017654,1,-1.023932,1,0.042874,
10,0.46875,1,-0.43956,1,0.87912,1,-0.07326,1,0.03783,1,-1.016366,1,0.03783,
11,0.5,1,-1.02564,1,-0.14652,1,0,1,0.010088,1,-1.006278,1,0.02522,
12,0.546875,1,-0.65934,1,-0.07326,1,0.51282,1,0.017654,1,-1.013844,1,0.017654,
13,0.578125,1,-0.43956,1,-0.7326,1,0.21978,1,0.040352,1,-1.011322,1,0.030264,
14,0.625,1,-0.7326,1,0.14652,1,0.3663,1,0.020176,1,-1.011322,1,0.022698,
15,0.671875,1,-0.3663,1,-0.14652,1,-0.43956,1,-0.010088,1,-1.003756,1,0.02522,
16,0.703125,1,-0.21978,1,-0.14652,1,0.51282,1,0.027742,1,-1.028976,1,0.047918,
