File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:53:42
Begin Seconds,82409.72
End Seconds,82422.3
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.80586,1,-0.29304,1,0.21978,1,-0.005044,1,-1.018888,1,0.03783,
2,0.125,1,-0.29304,1,-0.21978,1,0.14652,1,-0.002522,1,-1.03402,1,0.052962,
3,0.203125,1,-1.0989,1,0.07326,1,0.3663,1,0.032786,1,-1.001234,1,0.02522,
4,0.28125,1,-0.7326,1,0,1,0.21978,1,0,1,-1.0088,1,0.032786,
5,0.34375,1,-0.29304,1,-0.7326,1,-0.3663,1,0.005044,1,-1.026454,1,0.047918,
6,0.390625,1,-0.3663,1,-0.3663,1,-0.07326,1,0.047918,1,-1.031498,1,0.05044,
7,0.4375,1,0.14652,1,-0.29304,1,0.51282,1,-0.002522,1,-0.993668,1,0.03783,
8,0.46875,1,-0.65934,1,0.43956,1,0.80586,1,0.030264,1,-1.018888,1,0.035308,
9,0.515625,1,-0.65934,1,-0.07326,1,0.14652,1,0.02522,1,-1.003756,1,0.032786,
10,0.5625,1,-0.29304,1,0.65934,1,0.65934,1,0.020176,1,-1.001234,1,0.020176,
11,0.59375,1,-1.17216,1,-0.87912,1,-0.21978,1,0.022698,1,-0.9987121,1,0.022698,
12,0.640625,1,-0.87912,1,-0.58608,1,-0.29304,1,0.032786,1,-1.011322,1,0.030264,
13,0.671875,1,-0.3663,1,0.29304,1,-0.58608,1,0.035308,1,-1.026454,1,0.047918,
14,0.71875,1,-0.65934,1,-0.65934,1,-0.29304,1,0.007566,1,-1.036542,1,0.047918,
15,0.765625,1,-0.80586,1,-0.80586,1,-0.65934,1,0.020176,1,-1.018888,1,0.045396,
16,0.796875,1,-0.51282,1,-0.43956,1,-0.58608,1,0.027742,1,-1.011322,1,0.022698,
17,0.84375,1,-1.17216,1,-0.07326,1,-0.29304,1,0,1,-1.018888,1,0.040352,
18,0.890625,1,-1.02564,1,0.3663,1,-0.58608,1,0.007566,1,-1.02141,1,0.032786,
19,0.921875,1,-0.43956,1,-0.21978,1,-0.07326,1,0.03783,1,-1.011322,1,0.030264,
20,0.96875,1,-0.7326,1,0,1,0,1,0.020176,1,-1.016366,1,0.045396,
21,1.015625,1,0.07326,1,-0.43956,1,0.43956,1,0.02522,1,-1.023932,1,0.040352,
22,1.046875,1,-0.21978,1,0.14652,1,0.87912,1,0.017654,1,-1.011322,1,0.032786,
23,1.09375,1,-0.29304,1,0.21978,1,-0.07326,1,-0.002522,1,-1.013844,1,0.045396,
24,1.140625,1,-0.58608,1,-0.3663,1,-0.29304,1,0.047918,1,-1.028976,1,0.055484,
25,1.171875,1,-0.3663,1,-0.14652,1,1.02564,1,0.040352,1,-1.041586,1,0.042874,
26,1.21875,1,-0.7326,1,0.07326,1,0.29304,1,0.035308,1,-1.0088,1,0.032786,
27,1.265625,1,-0.43956,1,0.43956,1,0,1,0.03783,1,-1.013844,1,0.042874,
28,1.296875,1,-0.87912,1,0.29304,1,0.3663,1,0.022698,1,-1.018888,1,0.042874,
29,1.34375,1,-0.95238,1,-0.3663,1,-0.21978,1,0.007566,1,-1.003756,1,0.047918,
30,1.390625,1,-0.65934,1,0.14652,1,0.07326,1,0.030264,1,-1.011322,1,0.035308,
31,1.421875,1,-1.31868,1,0.3663,1,-0.14652,1,0.015132,1,-1.028976,1,0.052962,
32,1.46875,1,-0.7326,1,0.65934,1,0.14652,1,0.002522,1,-1.011322,1,0.032786,
33,1.515625,1,-0.51282,1,0.14652,1,-0.14652,1,0.022698,1,-1.028976,1,0.045396,
34,1.546875,1,-0.21978,1,-0.29304,1,0.29304,1,0.007566,1,-1.016366,1,0.03783,
35,1.59375,1,0.07326,1,-0.58608,1,-0.21978,1,0.015132,1,-1.0088,1,0.027742,
36,1.625,1,-0.80586,1,0.58608,1,-0.51282,1,-0.007566,1,-1.013844,1,0.068094,
37,1.671875,1,-0.3663,1,6.9597,1,-0.80586,1,-0.015132,1,-1.018888,1,0.035308,
38,1.71875,1,-0.58608,1,2.9304,1,-0.58608,1,-0.015132,1,-1.031498,1,0.03783,
39,1.75,1,-0.95238,1,-1.17216,1,-0.87912,1,-0.002522,1,-1.003756,1,0.040352,
40,1.796875,1,-0.58608,1,-2.5641,1,0.7326,1,-0.015132,1,-0.991146,1,0.02522,
41,1.84375,1,-0.29304,1,-1.97802,1,1.17216,1,-0.015132,1,-1.006278,1,0.047918,
42,1.875,1,-0.29304,1,-1.4652,1,0.3663,1,-0.007566,1,-1.016366,1,0.047918,
43,1.921875,1,-0.95238,1,-2.34432,1,0.51282,1,-0.010088,1,-1.006278,1,0.032786,
44,1.96875,1,-0.51282,1,1.02564,1,0.21978,1,-0.007566,1,-1.02141,1,0.060528,
45,2,1,-0.65934,1,0.51282,1,1.17216,1,-0.010088,1,-1.0088,1,0.027742,
46,2.046875,1,-0.95238,1,-1.31868,1,-0.43956,1,0,1,-1.016366,1,0.040352,
47,2.09375,1,-0.87912,1,-1.39194,1,0.29304,1,0.010088,1,-1.036542,1,0.045396,
