File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:47:19
Begin Seconds,82027.13
End Seconds,82039.64
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.3663,1,0.3663,1,0,1,0.005044,1,0.032786,1,1.041586,
2,0.125,1,-0.65934,1,0.43956,1,0.65934,1,-0.007566,1,0.052962,1,1.039064,
3,0.171875,1,-0.95238,1,0.43956,1,-0.51282,1,-0.01261,1,0.047918,1,1.031498,
4,0.21875,1,-0.51282,1,0.43956,1,-0.43956,1,0.015132,1,0.060528,1,1.036542,
5,0.25,1,-0.14652,1,0.65934,1,-0.21978,1,0.03783,1,0.045396,1,1.044108,
6,0.296875,1,-0.58608,1,0.21978,1,0.58608,1,0,1,0.040352,1,1.05924,
7,0.34375,1,-0.80586,1,-0.14652,1,0,1,-0.007566,1,0.03783,1,1.054196,
8,0.375,1,-1.17216,1,0.43956,1,0.14652,1,0.042874,1,0.040352,1,1.031498,
9,0.421875,1,-0.51282,1,0.3663,1,-0.21978,1,0.010088,1,0.03783,1,1.04663,
10,0.46875,1,-0.7326,1,-0.21978,1,0.95238,1,-0.010088,1,0.047918,1,1.031498,
11,0.5,1,-0.58608,1,1.0989,1,-0.21978,1,0.015132,1,0.045396,1,1.051674,
12,0.546875,1,0,1,-0.3663,1,0.21978,1,0.035308,1,0.035308,1,1.044108,
13,0.59375,1,-0.3663,1,0.43956,1,0.43956,1,0.030264,1,0.042874,1,1.044108,
14,0.625,1,-0.07326,1,0.43956,1,0.3663,1,0.022698,1,0.027742,1,1.054196,
15,0.671875,1,-0.95238,1,0.95238,1,0.58608,1,0.030264,1,0.035308,1,1.039064,
16,0.703125,1,-0.29304,1,0.21978,1,-1.4652,1,0.042874,1,0.035308,1,1.039064,
17,0.75,1,-0.80586,1,0.7326,1,0.29304,1,-0.010088,1,0.027742,1,1.061762,
18,0.796875,1,-0.58608,1,0.43956,1,0.65934,1,0.040352,1,0.052962,1,1.039064,
19,0.828125,1,-0.07326,1,0.43956,1,-0.29304,1,0.007566,1,0.030264,1,1.051674,
20,0.875,1,-0.43956,1,0.7326,1,-0.21978,1,0.027742,1,0.040352,1,1.044108,
21,0.921875,1,-1.17216,1,0.29304,1,0.21978,1,0.015132,1,0.040352,1,1.054196,
22,0.953125,1,-0.43956,1,0.43956,1,0.29304,1,0.017654,1,0.040352,1,1.056718,
23,1,1,-0.21978,1,0.95238,1,-0.29304,1,0.02522,1,0.05044,1,1.031498,
24,1.046875,1,-0.3663,1,0.87912,1,0.21978,1,-0.022698,1,-0.010088,1,1.003756,
25,1.078125,1,-0.43956,1,0.3663,1,0,1,-0.015132,1,0.052962,1,1.041586,
26,1.125,1,-0.7326,1,0.43956,1,0,1,0.010088,1,0.045396,1,1.03402,
27,1.171875,1,-0.51282,1,0.51282,1,-0.14652,1,0.027742,1,0.02522,1,1.049152,
28,1.203125,1,-0.7326,1,0.51282,1,-0.21978,1,-0.002522,1,0.042874,1,1.044108,
29,1.25,1,-1.24542,1,0.95238,1,0.21978,1,0.035308,1,0.032786,1,1.044108,
30,1.296875,1,-0.65934,1,-0.14652,1,0.07326,1,-0.005044,1,0.030264,1,1.05924,
31,1.328125,1,-0.80586,1,0.87912,1,0.58608,1,0.035308,1,0.035308,1,1.041586,
32,1.375,1,-1.0989,1,-0.14652,1,-0.51282,1,0,1,0.027742,1,1.061762,
33,1.421875,1,-1.17216,1,-0.14652,1,0,1,-0.007566,1,0.035308,1,1.054196,
34,1.453125,1,-0.51282,1,0.07326,1,0.07326,1,-0.007566,1,0.042874,1,1.054196,
35,1.5,1,-0.51282,1,0.29304,1,0.51282,1,0.027742,1,0.040352,1,1.041586,
36,1.546875,1,-1.24542,1,0.58608,1,0.51282,1,-0.002522,1,0.042874,1,1.041586,
37,1.578125,1,-0.51282,1,-0.21978,1,-0.3663,1,0.020176,1,0.027742,1,1.066806,
38,1.625,1,-0.58608,1,-0.14652,1,-0.3663,1,0.002522,1,0.03783,1,1.05924,
39,1.671875,1,-0.51282,1,-0.3663,1,-0.14652,1,0.005044,1,0.040352,1,1.051674,
40,1.703125,1,-0.29304,1,0.51282,1,-0.43956,1,0.01261,1,0.032786,1,1.051674,
41,1.75,1,-0.21978,1,0.29304,1,0.51282,1,-0.005044,1,0.05044,1,1.041586,
42,1.78125,1,-0.7326,1,0.14652,1,-0.95238,1,0.02522,1,0.03783,1,1.049152,
43,1.828125,1,-0.14652,1,0.3663,1,0.21978,1,0.032786,1,0.042874,1,1.039064,
44,1.875,1,-0.7326,1,1.31868,1,-0.51282,1,0.032786,1,0.05044,1,1.03402,
45,1.90625,1,-0.21978,1,0.14652,1,0.14652,1,0,1,0.05044,1,1.04663,
