what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088027447
error,log,,,"Failed to load properties file for project 'swl_rnd_util'",1279088033375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088033437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088047572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088049763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088060865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088081326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1279088081351
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1279088081351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088084966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088101452
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088103720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088106170
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088108039
error,log,,,"Failed to load properties file for project 'swl_kinematics_test'",1279088113847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088113885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088115199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088118128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088121614
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088124915
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088126410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088127498
error,log,,,"Failed to load properties file for project 'swl_machine_learning_test'",1279088132540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088132586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088134203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088137293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088139630
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088141669
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088142863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088143473
error,log,,,"Failed to load properties file for project 'swl_machine_vision_test'",1279088147201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088147249
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088148218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088150933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088153378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088155142
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088156339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088156997
error,log,,,"Failed to load properties file for project 'swl_rnd_util_test'",1279088162354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088162391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088163149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088166613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088169895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088172213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088173430
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088174245
error,log,,,"Failed to load properties file for project 'swl_serial_port_test'",1279088177788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088177843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088180146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088182860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088185040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088186582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088188184
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088188828
error,log,,,"Failed to load properties file for project 'swl_tcp_socket_client_test'",1279088192881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088192965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088194027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088196571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279088200554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279088202641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1279088205286
