AccX	AccY	AccZ	Wx	Wy	Wz
-0.55484	-0.15132	-10.23932	1.02564	-6.00732	-0.29304
-0.70616	-0.2522	-9.886239	20.07324	-7.91208	10.402921
-1.05924	-0.65572	-10.642839	2.78388	-9.81684	8.49816
-0.80704	-0.60528	-10.188879	3.36996	-2.63736	-10.54944
0.05044	-0.2522	-10.340199	-1.17216	-3.663	-4.54212
0.05044	-1.36188	-11.14724	-2.05128	-15.384601	13.62636
-0.15132	0.05044	-11.14724	-4.10256	-9.08424	3.95604
-0.65572	-0.10088	-10.79416	-4.10256	-8.7912	-20.95236
-0.45396	-0.45396	-9.886239	9.5238	-7.03296	-6.30036
-1.10968	-0.60528	-9.583599	6.30036	-5.71428	-3.22344
-0.70616	-0.45396	-10.03756	5.27472	-2.05128	-5.56776
-0.30264	-0.55484	-10.188879	2.9304	-3.36996	-0.87912
-0.55484	-0.5044	-10.441079	4.10256	-6.73992	-2.05128
-0.45396	-0.60528	-10.28976	6.73992	-4.83516	-8.0586
-0.20176	-0.20176	-10.390639	4.68864	-8.0586	-4.83516
-0.70616	-0.2522	-9.93668	5.8608	-5.1282	-6.15384
-0.05044	-0.40352	-10.23932	2.1978	-2.78388	-4.83516
-0.05044	-0.35308	-10.441079	2.9304	-3.80952	-5.1282
0.10088	-0.2522	-9.533159	4.54212	-0.58608	-3.80952
-0.70616	-0.35308	-9.98712	5.27472	-4.24908	-4.10256
-0.40352	-0.55484	-9.583599	1.31868	2.49084	0.29304
-1.0088	0.35308	-8.927879	4.10256	1.31868	-4.10256
-0.15132	0	-11.14724	5.56776	-11.282041	-1.75824
-0.55484	-0.70616	-10.390639	5.42124	-7.326	-3.51648
-1.16012	-0.55484	-10.03756	5.8608	-10.402921	-8.93772
-0.10088	-0.2522	-11.298559	3.22344	-8.7912	-1.90476
-0.30264	-0.80704	-10.03756	2.05128	-2.05128	4.10256
-0.40352	-1.10968	-8.675679	5.27472	2.9304	11.86812
0.45396	0.05044	-9.98712	0.29304	6.30036	-8.0586
-0.80704	-0.2522	-10.49152	5.8608	-8.93772	4.98168
-1.5132	-0.70616	-9.73492	4.3956	3.663	9.670321
-0.80704	-1.21056	-9.280959	-3.80952	3.51648	8.64468
-0.70616	0.20176	-10.138439	-3.80952	-12.30768	-2.49084
-0.30264	-0.30264	-10.54196	4.83516	-3.07692	-5.42124
-0.35308	-0.65572	-10.087999	3.663	-5.8608	-6.73992
-0.5044	-0.5044	-10.642839	7.47252	-7.03296	-3.95604
-0.65572	-0.45396	-9.98712	3.51648	-4.98168	-4.83516
-0.5044	-0.55484	-10.087999	4.68864	-5.42124	-4.10256
-0.20176	-0.55484	-10.138439	2.1978	-0.7326	-4.54212
-0.65572	-0.55484	-9.583599	6.00732	-4.24908	-0.7326
-0.45396	-0.45396	-9.98712	2.9304	-4.68864	-3.36996
-0.60528	-0.45396	-9.93668	3.80952	-6.73992	-1.4652
-0.60528	-0.45396	-9.93668	3.80952	-6.73992	-1.4652
-0.7566	2.11848	-9.835799	-22.857121	-10.54944	-1.90476
-0.85748	1.10968	-10.138439	28.424881	-8.49816	-1.75824
-0.90792	-0.10088	-11.39944	1.4652	-6.30036	-3.22344
-1.71496	-0.15132	-9.63404	6.15384	-4.3956	-0.87912
-0.90792	-0.40352	-10.138439	-1.4652	-5.71428	0.58608
-0.7566	-0.40352	-10.188879	0.29304	-5.56776	0.14652
-0.80704	-0.5044	-10.23932	-0.14652	-6.00732	-0.29304
-0.65572	-0.60528	-10.28976	-1.02564	-5.8608	0.43956
-0.85748	-0.45396	-10.28976	1.75824	-5.71428	0.87912
-0.7566	-0.45396	-10.188879	1.02564	-6.73992	0.43956
-0.85748	-0.55484	-10.188879	0.58608	-5.8608	-0.7326
-0.40352	-0.2522	-10.188879	4.10256	-5.56776	0.14652
-0.40352	-0.2522	-10.188879	4.10256	-5.56776	0.14652
-0.2522	-0.05044	-10.23932	-0.43956	-6.00732	0.43956
-0.40352	0.05044	-10.138439	1.02564	-6.00732	0.43956
-0.5044	0.15132	-10.743719	-12.60072	-2.9304	2.1978
-0.5044	0.15132	-10.743719	-12.60072	-2.9304	2.1978
-0.2522	0.05044	-10.087999	1.17216	-5.42124	-0.14652
-0.65572	0.5044	-11.046359	-3.51648	-7.47252	-6.73992
-0.55484	0.2522	-10.340199	0.29304	0.7326	-5.8608
-0.55484	0.2522	-10.340199	0.29304	0.7326	-5.8608
-0.55484	0.2522	-10.340199	0.29304	0.7326	-5.8608
-0.2522	0.20176	-10.087999	4.83516	-14.652	-3.36996
0.40352	0.2522	-10.89504	0.43956	-14.945041	-4.54212
-0.55484	0.2522	-10.79416	8.20512	-2.05128	0.7326
0.2522	-0.55484	-9.785359	8.20512	-3.07692	14.065921
0.2522	-0.55484	-9.785359	8.20512	-3.07692	14.065921
0.45396	0.40352	-10.390639	1.02564	-2.63736	-8.0586
0.45396	0.40352	-10.390639	1.02564	-2.63736	-8.0586
-0.30264	-0.20176	-10.441079	9.37728	-8.0586	-12.60072
0.2522	0	-10.03756	1.61172	-12.60072	8.49816
0.55484	0.20176	-9.02876	10.69596	-3.95604	5.71428
0.10088	0.45396	-10.49152	6.5934	-3.663	2.1978
0.10088	0.45396	-10.49152	6.5934	-3.663	2.1978
-1.5132	-0.2522	-10.54196	12.74724	-6.30036	7.91208
-0.85748	0	-8.927879	9.23076	2.49084	5.42124
-0.90792	0.40352	-10.441079	-2.05128	1.02564	-0.58608
-0.65572	-0.10088	-10.79416	-2.1978	-6.73992	-4.83516
-0.70616	-0.35308	-10.693279	1.31868	-8.49816	0.43956
-0.70616	-0.35308	-10.693279	1.31868	-8.49816	0.43956
-0.70616	-0.35308	-10.693279	1.31868	-8.49816	0.43956
0.2522	0.45396	-8.17128	4.24908	-2.05128	5.56776
-0.45396	0.70616	-9.38184	6.44688	1.17216	3.22344
0.45396	0	-10.087999	-1.02564	-11.57508	3.51648
-0.15132	-0.20176	-11.14724	2.78388	-9.08424	-3.22344
-0.95836	0.30264	-10.49152	0.43956	-5.8608	-8.64468
0.90792	-0.2522	-10.54196	-13.47984	-10.989	1.31868
0.35308	0.80704	-9.0792	4.10256	-6.30036	-2.34432
0.35308	0.80704	-9.0792	4.10256	-6.30036	-2.34432
-0.40352	-0.20176	-11.39944	-2.05128	-11.13552	-2.1978
-0.45396	0.30264	-9.93668	2.9304	-2.63736	-3.51648
-0.15132	0.20176	-10.340199	8.93772	-0.14652	-0.7326
-0.15132	0.20176	-9.93668	5.42124	-3.36996	-3.07692
-0.10088	0.65572	-11.14724	1.31868	-4.3956	-0.29304
-0.20176	0.15132	-9.886239	6.88644	0.58608	-3.36996
-0.40352	-0.2522	-10.28976	8.35164	-4.24908	-2.9304
-0.40352	-0.2522	-10.28976	8.35164	-4.24908	-2.9304
-0.05044	0.65572	-9.73492	3.95604	-4.98168	-6.00732
-0.05044	0.65572	-9.73492	3.95604	-4.98168	-6.00732
-0.2522	0.40352	-10.188879	4.54212	-3.07692	9.37728
-1.10968	0	-9.73492	9.81684	-3.36996	-18.901081
-1.10968	0	-9.73492	9.81684	-3.36996	-18.901081
-0.5044	-0.30264	-9.482719	4.24908	-3.80952	1.61172
-0.10088	0.2522	-10.49152	8.35164	-1.61172	-2.9304
-0.10088	0.2522	-10.49152	8.35164	-1.61172	-2.9304
-0.05044	0.95836	-12.408239	0.58608	-9.670321	-3.36996
-0.2522	0.40352	-10.138439	6.44688	-0.87912	-3.51648
-0.40352	-0.05044	-11.19768	-6.15384	-12.16116	15.824161
-0.95836	0.35308	-9.43228	10.10988	-3.36996	7.326
0.30264	0.20176	-9.93668	3.22344	-9.08424	5.27472
0.30264	0.20176	-9.93668	3.22344	-9.08424	5.27472
0.20176	0.15132	-9.63404	6.44688	-3.07692	1.75824
-1.05924	0.55484	-9.482719	9.37728	-3.51648	1.4652
0.15132	0.70616	-10.087999	0.7326	-6.00732	6.30036
0.30264	0.30264	-10.23932	0	-9.670321	5.27472
0.60528	0.30264	-9.98712	0.87912	11.42856	5.56776
-0.05044	0.05044	-10.49152	2.9304	-2.78388	7.76556
-0.30264	0.15132	-10.340199	12.01464	-5.1282	-1.17216
-0.65572	0.10088	-9.280959	-1.90476	-7.03296	8.35164
-0.95836	-0.35308	-10.138439	8.35164	-7.47252	7.17948
0.10088	0.45396	-10.28976	9.23076	-3.95604	11.13552
-1.0088	0.35308	-9.93668	3.51648	-6.44688	6.5934
-0.30264	0.05044	-9.93668	2.78388	-0.87912	5.42124
0.05044	0.5044	-10.995919	-4.83516	-10.842481	-1.02564
-0.55484	-0.15132	-10.23932	5.56776	-2.78388	7.91208
-0.40352	0	-10.54196	3.95604	-2.78388	6.5934
-0.40352	0.20176	-10.23932	6.15384	-12.74724	2.05128
-0.5044	0.60528	-10.49152	5.42124	-6.00732	2.34432
-1.0088	-0.15132	-10.28976	8.35164	-1.75824	3.07692
-0.35308	0.30264	-10.390639	2.1978	-6.15384	4.3956
0.15132	0.15132	-10.743719	2.1978	-13.9194	3.07692
0.2522	0	-10.23932	10.2564	-2.78388	9.23076
-0.05044	-0.05044	-10.188879	5.71428	-3.51648	9.670321
-0.05044	0.2522	-9.583599	2.9304	-1.75824	3.36996
-0.05044	0.2522	-9.583599	2.9304	-1.75824	3.36996
-0.55484	-0.05044	-10.390639	7.47252	-6.00732	7.17948
0.2522	-0.20176	-10.441079	2.63736	-5.42124	9.23076
0.2522	-0.20176	-10.441079	2.63736	-5.42124	9.23076
-0.35308	0.55484	-10.138439	7.76556	-3.663	8.20512
-0.35308	0.55484	-10.138439	7.76556	-3.663	8.20512
-0.20176	-0.2522	-10.23932	0.43956	-4.83516	8.93772
-0.2522	-0.35308	-10.138439	6.73992	-5.27472	11.57508
0.15132	0.35308	-10.23932	3.80952	-2.78388	13.47984
0.35308	-0.30264	-10.743719	9.23076	1.17216	1.90476
-0.15132	-0.05044	-10.340199	-6.00732	-4.3956	9.23076
-0.40352	-0.05044	-10.087999	3.07692	-5.1282	8.20512
-0.10088	0.2522	-9.785359	3.36996	-3.07692	2.9304
-0.35308	-0.40352	-9.98712	5.27472	0.29304	3.36996
-0.35308	-0.40352	-9.98712	5.27472	0.29304	3.36996
-0.30264	-0.10088	-10.8446	1.61172	-8.35164	7.91208
-0.55484	-0.10088	-9.98712	8.49816	-2.9304	8.20512
0.30264	-0.40352	-9.93668	25.05492	-12.16116	4.54212
-0.20176	-0.05044	-10.188879	7.03296	-5.71428	-0.43956
-0.40352	-0.10088	-10.23932	5.27472	-4.98168	-0.87912
-0.40352	-0.10088	-10.23932	5.27472	-4.98168	-0.87912
-0.45396	-0.05044	-10.188879	3.22344	-4.83516	-0.14652
-0.30264	-0.10088	-10.188879	3.663	-4.24908	-0.58608
-0.45396	0	-10.138439	4.54212	-4.54212	-0.43956
-0.30264	-0.15132	-10.188879	4.54212	-4.98168	-0.58608
-0.30264	-0.15132	-10.188879	4.54212	-4.98168	-0.58608
-0.2522	-0.10088	-10.23932	3.95604	-5.27472	-0.58608
-0.2522	-0.15132	-10.188879	3.36996	-5.27472	-0.14652
-0.2522	-0.15132	-10.188879	3.36996	-5.27472	-0.14652
-0.5044	-0.15132	-10.138439	3.95604	-5.42124	-0.7326
-0.5044	-0.15132	-10.138439	3.95604	-5.42124	-0.7326
-0.35308	-0.15132	-10.087999	4.3956	-4.83516	-1.31868
-0.35308	-0.10088	-10.138439	4.83516	-4.83516	0.14652
-0.40352	-0.10088	-10.188879	3.51648	-4.83516	-0.14652
-0.30264	0.05044	-10.188879	4.98168	-5.71428	0.14652
-0.30264	0.05044	-10.188879	4.98168	-5.71428	0.14652
-0.5044	-0.10088	-10.138439	4.83516	-4.3956	-0.7326
-0.35308	-0.15132	-10.23932	3.663	-5.1282	-0.58608
-0.35308	-0.15132	-10.23932	3.663	-5.1282	-0.58608
-0.35308	-0.15132	-10.23932	3.663	-5.1282	-0.58608
-0.2522	-0.15132	-10.23932	4.10256	-3.51648	-0.29304
-0.30264	-0.15132	-10.188879	4.3956	-4.98168	-0.14652
-0.30264	-0.15132	-10.188879	4.3956	-4.98168	-0.14652
-0.30264	-0.15132	-10.138439	4.24908	-4.3956	-0.29304
-0.2522	-0.10088	-10.188879	4.98168	-4.3956	-0.87912
-0.35308	-0.05044	-10.138439	4.68864	-6.00732	0.29304
-0.30264	-0.05044	-10.138439	4.3956	-4.54212	-1.02564
-0.60528	-0.55484	-10.188879	6.5934	-8.64468	1.61172
1.91672	-0.70616	-11.853399	22.857121	-5.71428	-4.24908
-0.20176	-0.15132	-10.138439	1.75824	-4.54212	-0.14652
-0.15132	0.2522	-10.79416	0	-13.772881	-5.71428
-0.45396	0.20176	-10.23932	4.98168	-8.35164	-2.78388
-0.55484	-0.55484	-9.583599	7.326	-1.75824	9.81684
-0.55484	-0.55484	-9.583599	7.326	-1.75824	9.81684
-0.55484	-0.10088	-9.68448	6.30036	-4.3956	10.842481
-0.80704	0.05044	-9.835799	2.05128	-4.54212	7.61904
-0.7566	0.05044	-9.93668	3.22344	-3.80952	7.17948
-0.35308	-0.05044	-9.98712	4.68864	-7.326	10.402921
-0.60528	0.20176	-10.087999	2.34432	-7.326	7.61904
-0.60528	0.35308	-10.03756	4.68864	-2.63736	7.61904
-0.60528	0.35308	-10.28976	6.5934	-7.03296	9.670321
-0.40352	0.30264	-10.49152	5.71428	-5.71428	10.10988
-0.35308	0.10088	-9.835799	7.76556	-5.71428	7.17948
-0.85748	-0.2522	-9.482719	11.42856	-4.83516	1.31868
-0.5044	-0.5044	-9.482719	1.17216	-7.03296	1.31868
-0.5044	-0.5044	-9.482719	1.17216	-7.03296	1.31868
-0.35308	-0.05044	-10.5924	8.7912	-11.721601	1.31868
-0.2522	0.15132	-9.886239	1.90476	-5.27472	6.5934
-0.35308	-0.05044	-10.642839	9.81684	-5.27472	1.31868
-0.2522	-0.30264	-9.230519	7.76556	3.22344	4.83516
-0.2522	-0.30264	-9.230519	7.76556	3.22344	4.83516
-0.05044	-0.5044	-10.5924	-3.07692	-5.42124	-1.31868
-0.05044	-0.5044	-10.5924	-3.07692	-5.42124	-1.31868
0.45396	-0.60528	-9.180079	13.9194	17.28936	-0.87912
-0.5044	-0.15132	-9.98712	-12.60072	-1.17216	3.07692
-0.60528	0.2522	-10.441079	-2.9304	-3.36996	-9.08424
-0.2522	-0.40352	-9.785359	13.62636	-3.22344	-0.87912
-0.95836	-0.2522	-9.835799	-0.7326	0.43956	8.0586
-0.5044	0.20176	-10.138439	-1.75824	-12.16116	0.87912
-0.30264	0.70616	-9.68448	-4.68864	-11.282041	-1.75824
-0.30264	-0.05044	-10.28976	0.43956	-3.36996	7.91208
-0.40352	-0.30264	-10.23932	3.07692	-8.64468	6.44688
-0.20176	-0.2522	-9.835799	7.03296	-5.1282	3.36996
-0.45396	0.35308	-10.390639	0.14652	0	1.61172
-0.5044	-0.10088	-10.138439	3.80952	-3.22344	10.10988
-0.20176	-0.10088	-10.340199	6.73992	-6.15384	9.37728
-0.30264	0	-10.340199	2.1978	-4.10256	9.96336
-0.5044	-0.20176	-9.98712	2.05128	-7.47252	6.5934
-0.20176	0.05044	-10.28976	0	-7.17948	7.17948
-0.20176	0.05044	-10.28976	0	-7.17948	7.17948
0.40352	0.15132	-10.995919	4.54212	-14.505481	6.73992
0.40352	0.15132	-10.995919	4.54212	-14.505481	6.73992
-0.45396	-0.05044	-9.583599	12.454201	-1.17216	11.86812
0.45396	0.15132	-9.583599	14.21244	0.29304	7.91208
-0.30264	0.05044	-10.5924	-2.78388	-3.95604	1.02564
-0.10088	-0.20176	-10.79416	-4.10256	-8.93772	5.8608
-0.20176	-0.30264	-10.138439	7.17948	-9.08424	10.402921
-0.15132	-0.10088	-10.642839	8.0586	-5.8608	10.842481
-0.65572	0.35308	-10.03756	4.98168	-4.10256	10.402921
-0.35308	0.40352	-10.340199	5.56776	-5.42124	9.5238
-0.2522	0.10088	-10.087999	4.24908	-4.24908	9.37728
-0.55484	0.35308	-9.98712	6.44688	-5.56776	9.96336
-0.55484	0.2522	-10.8446	4.24908	-4.54212	9.23076
-0.40352	0	-10.390639	3.07692	-5.27472	8.64468
-0.55484	0.2522	-10.28976	5.71428	-6.30036	8.0586
-0.30264	-0.05044	-10.188879	0.29304	-3.80952	7.326
-0.55484	0.30264	-10.340199	4.24908	-5.1282	10.10988
-0.45396	0	-10.23932	5.42124	-8.20512	10.69596
-0.2522	-0.20176	-9.98712	6.73992	-3.95604	9.670321
-0.20176	0.10088	-10.087999	2.78388	-3.36996	7.76556
-0.20176	0.10088	-10.087999	2.78388	-3.36996	7.76556
0.10088	0.05044	-10.743719	5.8608	-1.75824	5.27472
0.10088	0.05044	-10.743719	5.8608	-1.75824	5.27472
-0.35308	0.05044	-10.23932	7.326	-1.17216	0.87912
-0.85748	-0.30264	-9.73492	14.065921	-7.326	7.17948
-0.05044	0.55484	-10.03756	-1.17216	-3.663	9.23076
-0.35308	0.15132	-9.785359	4.83516	-1.90476	-2.78388
-0.5044	0.05044	-10.49152	-3.51648	-2.05128	7.03296
-0.30264	-0.20176	-10.188879	6.5934	-9.37728	-3.663
-0.10088	-0.2522	-10.390639	4.83516	-13.62636	3.80952
-0.40352	-0.35308	-9.98712	17.435881	-7.03296	8.35164
-0.35308	0.15132	-10.188879	0.43956	-5.1282	7.76556
-0.40352	0.15132	-10.138439	5.8608	-10.10988	6.00732
0.30264	0.05044	-10.5924	1.17216	-2.49084	11.42856
-0.40352	0	-10.03756	1.90476	-5.1282	8.49816
-0.60528	0.5044	-10.693279	8.0586	-5.42124	6.73992
-0.65572	0	-10.390639	-2.05128	-6.88644	-3.07692
0.05044	0.2522	-10.49152	-2.1978	-12.893761	-3.95604
-1.7654	-0.65572	-9.38184	7.03296	2.78388	6.88644
-1.05924	0.90792	-10.188879	1.31868	-8.7912	-3.22344
-0.10088	0.70616	-9.785359	5.1282	-1.75824	-5.27472
-0.30264	-0.85748	-10.5924	17.435881	0	-3.22344
0.40352	0.30264	-10.693279	12.60072	-8.0586	3.22344
-0.45396	-0.60528	-9.12964	8.20512	-5.1282	11.42856
-0.35308	-0.20176	-10.23932	-10.10988	-10.2564	10.69596
-0.95836	0.30264	-9.43228	23.882761	-3.95604	-1.75824
-0.95836	0.30264	-9.43228	23.882761	-3.95604	-1.75824
-0.80704	0.05044	-10.138439	12.30768	-1.02564	-0.43956
-0.80704	0.05044	-10.138439	12.30768	-1.02564	-0.43956
-0.80704	0.05044	-10.138439	12.30768	-1.02564	-0.43956
-0.20176	0.10088	-10.642839	8.93772	-5.71428	7.91208
0.5044	0	-10.945479	4.83516	-1.90476	5.42124
0.5044	0	-10.945479	4.83516	-1.90476	5.42124
-0.85748	-0.40352	-9.98712	4.3956	-5.42124	0.29304
-0.45396	-0.2522	-10.03756	-4.24908	-4.68864	1.4652
-0.95836	-0.85748	-9.43228	1.02564	-2.1978	6.44688
-0.95836	-0.85748	-9.43228	1.02564	-2.1978	6.44688
-0.95836	-0.85748	-9.43228	1.02564	-2.1978	6.44688
-2.522	-1.5132	-8.675679	-16.41024	0.29304	4.10256
-1.05924	-0.45396	-10.54196	-54.212402	3.663	5.42124
0.80704	-1.36188	-9.835799	-17.582399	-2.49084	8.35164
0.80704	-1.36188	-9.835799	-17.582399	-2.49084	8.35164
0.80704	-1.36188	-9.835799	-17.582399	-2.49084	8.35164
0.80704	-1.36188	-9.835799	-17.582399	-2.49084	8.35164
-0.60528	-0.40352	-10.28976	9.81684	-6.88644	0.14652
-0.60528	-0.40352	-10.28976	9.81684	-6.88644	0.14652
-0.5044	0.05044	-10.28976	2.49084	-0.43956	1.31868
-0.35308	-0.10088	-10.28976	1.17216	-2.49084	-3.07692
-0.35308	-0.10088	-10.28976	1.17216	-2.49084	-3.07692
-0.35308	-0.10088	-10.28976	1.17216	-2.49084	-3.07692
-0.15132	-0.15132	-10.188879	2.1978	-8.35164	-2.1978
0.2522	0.55484	-10.03756	-1.31868	-8.49816	-2.9304
0.2522	0.55484	-10.03756	-1.31868	-8.49816	-2.9304
0.2522	0.55484	-10.03756	-1.31868	-8.49816	-2.9304
0.15132	0.2522	-9.93668	4.83516	-8.49816	1.17216
0.15132	0.2522	-9.93668	4.83516	-8.49816	1.17216
0.15132	0.2522	-9.93668	4.83516	-8.49816	1.17216
0.05044	0.40352	-10.23932	4.10256	-8.49816	-0.43956
0.05044	0.40352	-10.23932	4.10256	-8.49816	-0.43956
-0.15132	-0.10088	-10.390639	-1.02564	-5.71428	1.4652
-0.70616	0.70616	-10.89504	-3.51648	-8.35164	-9.37728
-0.70616	0.70616	-10.89504	-3.51648	-8.35164	-9.37728
-0.95836	-0.85748	-10.743719	24.1758	-6.5934	-2.05128
-0.55484	-0.5044	-10.28976	2.9304	-9.37728	-1.61172
-0.55484	-0.5044	-10.28976	2.9304	-9.37728	-1.61172
