File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:10:25
Begin Seconds,58196.34
End Seconds,58225.39
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.95238,1,0.14652,1,-0.21978,1,0.022698,1,0,1,1.039064,
2,0,1,-1.02564,1,-0.14652,1,0.14652,1,0.020176,1,0.005044,1,1.041586,
3,0,1,-0.87912,1,0,1,0.51282,1,0.022698,1,0,1,1.049152,
4,0,1,-0.65934,1,0.3663,1,0.58608,1,0.020176,1,0.005044,1,1.04663,
5,0.015625,1,-0.80586,1,0.51282,1,0.58608,1,0.020176,1,-0.005044,1,1.049152,
6,0.015625,1,-0.3663,1,0.43956,1,0.80586,1,0.017654,1,0,1,1.041586,
7,0.015625,1,0.14652,1,0.21978,1,0.51282,1,0.017654,1,-0.002522,1,1.04663,
8,0.015625,1,0,1,0.21978,1,-0.21978,1,0.020176,1,-0.017654,1,1.051674,
9,0.015625,1,0.07326,1,0.43956,1,-0.3663,1,0.030264,1,-0.010088,1,1.041586,
10,0.03125,1,-0.43956,1,0.43956,1,0.07326,1,0.042874,1,-0.010088,1,1.05924,
11,0.03125,1,-0.58608,1,0.14652,1,-0.07326,1,0.055484,1,-0.017654,1,1.081938,
12,0.03125,1,-0.14652,1,0,1,-0.29304,1,0.060528,1,-0.005044,1,1.049152,
13,0.03125,1,-0.14652,1,0.43956,1,-0.65934,1,0.065572,1,-0.005044,1,1.044108,
14,0.03125,1,-0.58608,1,0.29304,1,-0.21978,1,7.061601E-02,1,-0.002522,1,1.031498,
15,0.046875,1,-0.43956,1,0.58608,1,0.43956,1,0.078182,1,-0.007566,1,1.03402,
16,0.046875,1,-0.21978,1,0.58608,1,0.21978,1,0.080704,1,-0.017654,1,1.041586,
17,0.046875,1,-0.58608,1,0.65934,1,0.07326,1,0.078182,1,-0.015132,1,1.03402,
18,0.046875,1,-1.31868,1,0.65934,1,0.29304,1,7.566001E-02,1,-0.022698,1,1.036542,
19,0.046875,1,-1.02564,1,0.7326,1,0.7326,1,0.058006,1,-0.020176,1,1.023932,
20,0.046875,1,-0.21978,1,0.65934,1,0.3663,1,0.058006,1,-0.017654,1,1.018888,
21,0.0625,1,-0.07326,1,0.07326,1,0.07326,1,0.052962,1,-0.017654,1,1.054196,
22,0.0625,1,-0.43956,1,0,1,0,1,0.03783,1,-0.005044,1,1.049152,
23,0.0625,1,-0.87912,1,-0.29304,1,-0.43956,1,0.030264,1,-0.017654,1,1.051674,
24,0.0625,1,-0.58608,1,-0.07326,1,-0.21978,1,0.027742,1,-0.02522,1,1.05924,
25,0.0625,1,-0.07326,1,0.14652,1,0.14652,1,0.015132,1,-0.002522,1,1.039064,
26,0.078125,1,-0.3663,1,0.58608,1,0.29304,1,0.017654,1,-0.002522,1,1.049152,
27,0.078125,1,-0.14652,1,0.51282,1,0.58608,1,0.027742,1,-0.007566,1,1.049152,
28,0.078125,1,0.14652,1,0.14652,1,0.58608,1,0.052962,1,0.002522,1,1.039064,
29,0.078125,1,0,1,0.29304,1,0.3663,1,0.06305,1,0,1,1.04663,
30,0.078125,1,-0.43956,1,0.29304,1,0.51282,1,0.065572,1,-0.010088,1,1.049152,
31,0.09375,1,-0.51282,1,0.21978,1,0.21978,1,0.065572,1,-0.002522,1,1.044108,
32,0.09375,1,-0.51282,1,0.29304,1,0.21978,1,0.06305,1,-0.01261,1,1.049152,
33,0.09375,1,-1.02564,1,0.58608,1,0.65934,1,0.068094,1,-0.005044,1,1.041586,
34,0.09375,1,-0.87912,1,0.80586,1,0.7326,1,7.566001E-02,1,-0.01261,1,1.041586,
35,0.09375,1,-0.14652,1,0.29304,1,0.43956,1,0.058006,1,-0.020176,1,1.049152,
36,0.109375,1,0.43956,1,-0.29304,1,0.3663,1,0.052962,1,-0.005044,1,1.049152,
37,0.109375,1,0.58608,1,0.21978,1,0.07326,1,0.047918,1,-0.015132,1,1.056718,
38,0.109375,1,-0.07326,1,0.21978,1,-0.21978,1,0.045396,1,-0.002522,1,1.04663,
39,0.109375,1,-0.3663,1,-0.29304,1,-0.29304,1,0.040352,1,0.005044,1,1.044108,
40,0.109375,1,-0.07326,1,-0.07326,1,-0.07326,1,0.032786,1,-0.015132,1,1.056718,
41,0.125,1,0,1,0.7326,1,0.14652,1,0.027742,1,-0.002522,1,1.049152,
42,0.125,1,0,1,0.7326,1,0.21978,1,0.017654,1,-0.005044,1,1.04663,
43,0.125,1,0.07326,1,0.07326,1,0,1,0.020176,1,-0.005044,1,1.044108,
44,0.125,1,-0.29304,1,-0.3663,1,-0.14652,1,0.022698,1,-0.010088,1,1.041586,
45,0.125,1,-0.3663,1,-0.29304,1,0,1,0.022698,1,-0.020176,1,1.044108,
46,0.140625,1,-0.29304,1,0.07326,1,-0.14652,1,0.022698,1,-0.002522,1,1.036542,
47,0.140625,1,-0.3663,1,0.58608,1,-0.29304,1,0.015132,1,-0.002522,1,1.051674,
48,0.140625,1,-0.3663,1,0.51282,1,-0.3663,1,0.010088,1,0,1,1.049152,
49,0.140625,1,-0.3663,1,-0.3663,1,0.3663,1,0.015132,1,0.010088,1,1.044108,
50,0.140625,1,-0.14652,1,-0.58608,1,0.58608,1,0.022698,1,-0.005044,1,1.054196,
51,0.140625,1,-0.21978,1,-0.51282,1,0.21978,1,0.002522,1,-0.015132,1,1.056718,
52,0.15625,1,-0.07326,1,-0.58608,1,0.07326,1,-0.015132,1,-0.005044,1,1.051674,
53,0.15625,1,0.21978,1,-0.58608,1,0.14652,1,0.01261,1,-0.007566,1,1.054196,
54,0.15625,1,0.14652,1,-0.51282,1,0,1,0.022698,1,-0.015132,1,1.054196,
55,0.15625,1,0.21978,1,-0.3663,1,0,1,0.032786,1,-0.010088,1,1.049152,
56,0.15625,1,0.43956,1,-0.51282,1,0.14652,1,0.030264,1,-0.010088,1,1.04663,
57,0.15625,1,0.07326,1,-0.21978,1,0.3663,1,0.035308,1,-0.01261,1,1.051674,
58,0.15625,1,-0.29304,1,0.21978,1,0.3663,1,0.040352,1,0,1,1.049152,
59,0.171875,1,-0.29304,1,-0.07326,1,0.29304,1,0.040352,1,-0.007566,1,1.054196,
60,0.171875,1,-0.21978,1,-0.07326,1,0.51282,1,0.035308,1,-0.01261,1,1.05924,
61,0.171875,1,-0.14652,1,0,1,0.21978,1,0.035308,1,-0.005044,1,1.054196,
