File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:30:55
Begin Seconds,59426.63
End Seconds,59455.64
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0,1,0.07326,1,0.07326,1,0.133666,1,0.448916,1,0.938184,
2,0,1,0.3663,1,0.43956,1,-0.29304,1,0.116012,1,0.461526,1,0.9255741,
3,0,1,0.58608,1,-0.07326,1,0.14652,1,0.123578,1,0.456482,1,0.923052,
4,0,1,0.29304,1,-0.07326,1,0.21978,1,0.141232,1,0.44135,1,0.93314,
5,0,1,0.14652,1,0.3663,1,0.3663,1,0.153842,1,0.446394,1,0.92053,
6,0.015625,1,-0.14652,1,0.21978,1,0.21978,1,0.158886,1,0.461526,1,0.912964,
7,0.015625,1,-0.43956,1,-0.51282,1,-0.29304,1,0.153842,1,0.459004,1,0.9280961,
8,0.015625,1,0.07326,1,-0.21978,1,-0.29304,1,0.148798,1,0.448916,1,0.940706,
9,0.015625,1,0.14652,1,0.29304,1,-0.14652,1,0.13871,1,0.451438,1,0.93314,
10,0.015625,1,-0.51282,1,-0.07326,1,-0.29304,1,0.1261,1,0.461526,1,0.9280961,
11,0.015625,1,-0.80586,1,-0.07326,1,-0.29304,1,0.123578,1,0.45396,1,0.930618,
12,0.03125,1,-0.51282,1,0.21978,1,0.07326,1,0.128622,1,0.438828,1,0.938184,
13,0.03125,1,-0.51282,1,0.21978,1,0.43956,1,0.141232,1,0.44135,1,0.935662,
14,0.03125,1,-0.14652,1,-0.21978,1,0.14652,1,0.156364,1,0.448916,1,0.92053,
15,0.03125,1,-0.21978,1,-0.21978,1,-0.51282,1,0.148798,1,0.446394,1,0.930618,
16,0.03125,1,0.07326,1,-0.07326,1,-0.14652,1,0.1261,1,0.443872,1,0.938184,
17,0.03125,1,0.29304,1,-0.14652,1,0,1,0.11349,1,0.451438,1,0.930618,
18,0.046875,1,0.07326,1,-0.29304,1,0.21978,1,0.108446,1,0.464048,1,0.923052,
19,0.046875,1,0.29304,1,-0.29304,1,0.07326,1,0.13871,1,0.44135,1,0.940706,
20,0.046875,1,0.51282,1,-0.07326,1,0.29304,1,0.15132,1,0.451438,1,0.9280961,
21,0.046875,1,0.7326,1,0.3663,1,0.51282,1,0.158886,1,0.461526,1,0.9104421,
22,0.0625,1,0.7326,1,0.58608,1,0.58608,1,0.153842,1,0.459004,1,0.923052,
23,0.0625,1,1.02564,1,0.7326,1,0.07326,1,0.128622,1,0.446394,1,0.930618,
24,0.0625,1,0.58608,1,0,1,-0.07326,1,0.118534,1,0.451438,1,0.9255741,
25,0.0625,1,-0.21978,1,0.29304,1,0.07326,1,0.118534,1,0.456482,1,0.92053,
26,0.0625,1,-0.14652,1,0.51282,1,0.3663,1,0.123578,1,0.44135,1,0.930618,
27,0.0625,1,0.21978,1,0.07326,1,0.51282,1,0.153842,1,0.436306,1,0.940706,
28,0.078125,1,0.07326,1,0.43956,1,0.21978,1,0.166452,1,0.451438,1,0.9280961,
29,0.078125,1,0.3663,1,0.3663,1,-0.51282,1,0.161408,1,0.464048,1,0.912964,
30,0.078125,1,0.51282,1,0.07326,1,-0.80586,1,0.143754,1,0.459004,1,0.918008,
31,0.078125,1,0,1,-0.14652,1,-0.3663,1,0.118534,1,0.44135,1,0.9432281,
32,0.078125,1,0.07326,1,0,1,0.21978,1,0.11349,1,0.448916,1,0.930618,
33,0.078125,1,0.58608,1,0.14652,1,0.58608,1,0.128622,1,0.46657,1,0.900354,
34,0.09375,1,-0.07326,1,-0.21978,1,0.58608,1,0.156364,1,0.451438,1,0.912964,
35,0.09375,1,-0.51282,1,-0.14652,1,0.87912,1,0.158886,1,0.431262,1,0.93314,
36,0.09375,1,-0.14652,1,0.07326,1,0.95238,1,0.143754,1,0.42874,1,0.938184,
37,0.09375,1,0.21978,1,-0.07326,1,0.43956,1,0.121056,1,0.446394,1,0.923052,
38,0.09375,1,0.29304,1,-0.14652,1,-0.3663,1,0.110968,1,0.45396,1,0.92053,
39,0.109375,1,0.21978,1,0,1,0.07326,1,0.121056,1,0.443872,1,0.930618,
40,0.109375,1,0.14652,1,-0.07326,1,0.3663,1,0.143754,1,0.42874,1,0.938184,
41,0.109375,1,0,1,-0.07326,1,0.21978,1,0.161408,1,0.448916,1,0.92053,
42,0.109375,1,0.14652,1,-0.07326,1,0.14652,1,0.161408,1,0.456482,1,0.918008,
43,0.109375,1,0.29304,1,-0.21978,1,-0.07326,1,0.148798,1,0.443872,1,0.9280961,
44,0.109375,1,0.14652,1,-0.29304,1,-0.51282,1,0.1261,1,0.438828,1,0.938184,
45,0.125,1,-0.07326,1,-0.07326,1,-0.7326,1,0.116012,1,0.451438,1,0.9255741,
46,0.125,1,-0.07326,1,-0.07326,1,-0.14652,1,0.146276,1,0.459004,1,0.9079201,
47,0.125,1,0.3663,1,-0.21978,1,0.21978,1,0.161408,1,0.456482,1,0.923052,
48,0.125,1,0.29304,1,0.07326,1,0.7326,1,0.156364,1,0.436306,1,0.935662,
49,0.125,1,0.07326,1,0.3663,1,0.58608,1,0.141232,1,0.41613,1,0.935662,
50,0.140625,1,-0.3663,1,0.43956,1,0.43956,1,0.123578,1,0.418652,1,0.918008,
51,0.140625,1,-0.7326,1,0.21978,1,0.7326,1,0.13871,1,0.448916,1,0.9079201,
52,0.140625,1,-0.07326,1,-0.3663,1,0.58608,1,0.153842,1,0.438828,1,0.9280961,
53,0.140625,1,-0.14652,1,-0.21978,1,0.51282,1,0.156364,1,0.426218,1,0.938184,
54,0.140625,1,-0.14652,1,0.07326,1,0.29304,1,0.13871,1,0.44135,1,0.915486,
55,0.140625,1,0.29304,1,0.29304,1,-0.07326,1,0.110968,1,0.459004,1,0.902876,
56,0.15625,1,0.21978,1,0.07326,1,0,1,0.110968,1,0.448916,1,0.92053,
57,0.15625,1,-0.07326,1,0.29304,1,-0.43956,1,0.1261,1,0.443872,1,0.9280961,
58,0.15625,1,-0.21978,1,0.29304,1,-0.07326,1,0.143754,1,0.45396,1,0.912964,
59,0.15625,1,0.07326,1,0,1,0.58608,1,0.158886,1,0.459004,1,0.912964,
60,0.15625,1,-0.07326,1,-0.21978,1,0.51282,1,0.153842,1,0.433784,1,0.9280961,
61,0.171875,1,0.14652,1,-0.14652,1,0.29304,1,0.141232,1,0.438828,1,0.92053,
62,0.171875,1,0.51282,1,0.21978,1,0.51282,1,0.121056,1,0.46657,1,0.912964,
63,0.171875,1,0.80586,1,0.43956,1,0.14652,1,0.118534,1,0.459004,1,0.92053,
64,0.171875,1,0.65934,1,0.51282,1,-0.21978,1,0.13871,1,0.44135,1,0.935662,
65,0.171875,1,0,1,-0.21978,1,-0.14652,1,0.153842,1,0.448916,1,0.9280961,
66,0.1875,1,-0.21978,1,-0.3663,1,-0.21978,1,0.166452,1,0.45396,1,0.918008,
67,0.1875,1,-0.58608,1,0.21978,1,0.07326,1,0.158886,1,0.438828,1,0.935662,
68,0.1875,1,-0.43956,1,0.14652,1,0.51282,1,0.121056,1,0.42874,1,0.940706,
69,0.1875,1,-0.43956,1,-0.43956,1,0.51282,1,0.110968,1,0.448916,1,0.9255741,
70,0.1875,1,-0.58608,1,-0.29304,1,0.7326,1,0.131144,1,0.456482,1,0.912964,
71,0.203125,1,-0.14652,1,-0.07326,1,0.87912,1,0.146276,1,0.436306,1,0.9280961,
72,0.203125,1,0.58608,1,-0.3663,1,0.87912,1,0.158886,1,0.433784,1,0.940706,
73,0.203125,1,0.95238,1,-0.65934,1,1.17216,1,0.153842,1,0.451438,1,0.930618,
74,0.203125,1,0.7326,1,-0.43956,1,1.17216,1,0.136188,1,0.464048,1,0.930618,
75,0.203125,1,0.7326,1,0.07326,1,0.58608,1,0.116012,1,0.446394,1,0.940706,
76,0.21875,1,0.51282,1,0.07326,1,0.29304,1,0.121056,1,0.44135,1,0.93314,
77,0.21875,1,0,1,0.21978,1,0.3663,1,0.148798,1,0.44135,1,0.915486,
78,0.21875,1,0,1,0.65934,1,0.07326,1,0.16393,1,0.438828,1,0.923052,
79,0.21875,1,-0.21978,1,0.87912,1,-0.21978,1,0.153842,1,0.44135,1,0.93314,
80,0.21875,1,-0.21978,1,0.7326,1,-0.51282,1,0.13871,1,0.45396,1,0.9280961,
81,0.234375,1,0.29304,1,0.21978,1,-0.29304,1,0.123578,1,0.459004,1,0.923052,
82,0.234375,1,0.07326,1,-0.14652,1,0,1,0.123578,1,0.45396,1,0.930618,
83,0.234375,1,-0.07326,1,0.07326,1,-0.14652,1,0.133666,1,0.44135,1,0.935662,
84,0.234375,1,0.14652,1,0.43956,1,0.07326,1,0.146276,1,0.456482,1,0.9255741,
85,0.234375,1,0.3663,1,0.3663,1,0.14652,1,0.153842,1,0.464048,1,0.918008,
86,0.234375,1,0.29304,1,0.43956,1,-0.21978,1,0.153842,1,0.443872,1,0.935662,
87,0.25,1,-0.21978,1,0.3663,1,-0.14652,1,0.133666,1,0.44135,1,0.9457501,
88,0.25,1,0.07326,1,0.14652,1,0,1,0.116012,1,0.459004,1,0.9280961,
89,0.25,1,-0.21978,1,0.43956,1,0.51282,1,0.116012,1,0.464048,1,0.92053,
90,0.25,1,-0.3663,1,0.21978,1,0.58608,1,0.131144,1,0.451438,1,0.9280961,
91,0.25,1,-0.14652,1,-0.14652,1,0.3663,1,0.156364,1,0.44135,1,0.930618,
92,0.265625,1,0.14652,1,0,1,-0.14652,1,0.16393,1,0.456482,1,0.915486,
93,0.265625,1,-0.21978,1,-0.14652,1,0.21978,1,0.158886,1,0.451438,1,0.9255741,
94,0.265625,1,-0.29304,1,0,1,0,1,0.136188,1,0.446394,1,0.93314,
95,0.265625,1,0,1,0.21978,1,0.07326,1,0.11349,1,0.459004,1,0.923052,
96,0.265625,1,0.07326,1,0.07326,1,0.3663,1,0.108446,1,0.476658,1,0.9104421,
97,0.265625,1,-0.14652,1,-0.07326,1,0.58608,1,0.141232,1,0.461526,1,0.92053,
98,0.28125,1,-0.3663,1,-0.29304,1,0.43956,1,0.196716,1,0.438828,1,0.938184,
99,0.28125,1,-0.51282,1,-0.3663,1,0.07326,1,0.209326,1,0.446394,1,0.93314,
100,0.28125,1,-0.07326,1,-0.14652,1,0.21978,1,0.143754,1,0.459004,1,0.915486,
101,0.28125,1,0.51282,1,-0.21978,1,0.07326,1,0.1261,1,0.45396,1,0.923052,
102,0.28125,1,0.7326,1,-0.21978,1,-0.21978,1,0.11349,1,0.448916,1,0.9432281,
103,0.296875,1,0.21978,1,-0.14652,1,0.21978,1,0.108446,1,0.459004,1,0.930618,
104,0.296875,1,0.21978,1,-0.07326,1,0.58608,1,0.116012,1,0.464048,1,0.923052,
105,0.296875,1,0.21978,1,0.07326,1,0.95238,1,0.136188,1,0.446394,1,0.9432281,
106,0.296875,1,0.14652,1,0.21978,1,0.58608,1,0.15132,1,0.443872,1,0.935662,
107,0.296875,1,0.43956,1,0.29304,1,0.14652,1,0.161408,1,0.45396,1,0.923052,
108,0.3125,1,0.58608,1,0.43956,1,0,1,0.158886,1,0.438828,1,0.930618,
109,0.3125,1,0.29304,1,0.07326,1,0.14652,1,0.141232,1,0.433784,1,0.93314,
110,0.3125,1,0,1,-0.21978,1,0.07326,1,0.131144,1,0.45396,1,0.923052,
111,0.3125,1,-0.21978,1,-0.21978,1,-0.29304,1,0.116012,1,0.461526,1,0.923052,
112,0.3125,1,0.21978,1,0.07326,1,-0.43956,1,0.116012,1,0.443872,1,0.9432281,
113,0.3125,1,0.65934,1,-0.07326,1,0.14652,1,0.123578,1,0.44135,1,0.9457501,
114,0.328125,1,0.51282,1,-0.21978,1,0.43956,1,0.136188,1,0.456482,1,0.912964,
115,0.328125,1,0.29304,1,-0.21978,1,0.43956,1,0.161408,1,0.464048,1,0.9104421,
116,0.328125,1,0,1,-0.14652,1,0.51282,1,0.16393,1,0.451438,1,0.918008,
117,0.328125,1,-0.29304,1,0.43956,1,0,1,0.136188,1,0.443872,1,0.92053,
118,0.328125,1,-0.14652,1,0.7326,1,0.43956,1,0.11349,1,0.456482,1,0.918008,
