File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:46:36
Begin Seconds,6383.64
End Seconds,6396.468
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.14652,1,-0.80586,1,0.07326,1,0.090792,1,-0.017654,1,1.064284,
2,0.140625,1,0.51282,1,1.02564,1,-0.51282,1,9.835801E-02,1,-0.032786,1,1.07185,
3,0.2026367,1,-0.80586,1,0.7326,1,0.51282,1,0.080704,1,-0.015132,1,1.066806,
4,0.25,1,0.65934,1,-0.3663,1,0.7326,1,9.835801E-02,1,0.005044,1,1.054196,
5,0.2807617,1,-0.29304,1,0.29304,1,0.3663,1,0.085748,1,0.015132,1,1.028976,
6,0.3276367,1,0.3663,1,0.21978,1,-0.21978,1,0.090792,1,-0.032786,1,1.086982,
7,0.375,1,0.14652,1,0.29304,1,-0.21978,1,0.090792,1,0.01261,1,1.044108,
8,0.4057617,1,-0.43956,1,0.7326,1,0.14652,1,0.085748,1,0.017654,1,1.023932,
9,0.4526367,1,0.21978,1,1.4652,1,0.7326,1,0.090792,1,-0.027742,1,1.079416,
10,0.5,1,-0.7326,1,0.14652,1,-0.21978,1,0.090792,1,0.015132,1,1.023932,
11,0.5307617,1,0.7326,1,0,1,-0.7326,1,0.103402,1,-0.020176,1,1.061762,
12,0.5776367,1,-0.29304,1,0.29304,1,-0.51282,1,0.08827,1,0.010088,1,1.044108,
13,0.625,1,0,1,0.43956,1,0.3663,1,0.083226,1,-0.002522,1,1.056718,
14,0.671875,1,0.3663,1,0.21978,1,0.3663,1,0.090792,1,-0.015132,1,1.05924,
15,0.7026367,1,0.58608,1,0.65934,1,0.3663,1,0.090792,1,0.015132,1,1.039064,
16,0.75,1,-0.07326,1,-0.58608,1,0.51282,1,0.108446,1,-0.01261,1,1.061762,
17,0.796875,1,0.29304,1,0.3663,1,0.3663,1,0.080704,1,-0.040352,1,1.086982,
18,0.8276367,1,-0.7326,1,0.58608,1,-0.65934,1,0.090792,1,0.010088,1,1.031498,
19,0.875,1,0.07326,1,-0.7326,1,-0.65934,1,0.085748,1,-0.005044,1,1.044108,
20,0.921875,1,-0.29304,1,0.58608,1,-0.07326,1,0.08827,1,-0.022698,1,1.056718,
21,0.96875,1,0.29304,1,-1.0989,1,1.17216,1,9.835801E-02,1,0.015132,1,1.054196,
22,1,1,0.29304,1,-0.3663,1,0.65934,1,0.10088,1,0.017654,1,1.03402,
23,1.046875,1,-0.14652,1,0.21978,1,0.29304,1,0.083226,1,0.020176,1,1.031498,
24,1.09375,1,0.07326,1,0.14652,1,0.7326,1,9.583601E-02,1,-0.027742,1,1.056718,
25,1.125,1,0,1,0.58608,1,0.07326,1,9.331401E-02,1,-0.017654,1,1.066806,
26,1.171875,1,-0.51282,1,-0.14652,1,0.21978,1,0.080704,1,-0.020176,1,1.061762,
27,1.21875,1,0.51282,1,0.43956,1,0.21978,1,0.083226,1,-0.032786,1,1.089504,
28,1.25,1,1.0989,1,0.80586,1,0.65934,1,0.090792,1,0.035308,1,1.028976,
29,1.296875,1,0.3663,1,-0.51282,1,0.58608,1,9.835801E-02,1,-0.022698,1,1.061762,
30,1.34375,1,0.21978,1,0.07326,1,0,1,9.583601E-02,1,-0.005044,1,1.051674,
31,1.390625,1,-0.65934,1,0.29304,1,0.7326,1,0.083226,1,-0.002522,1,1.04663,
32,1.421875,1,0.07326,1,-0.07326,1,-0.65934,1,0.085748,1,0.010088,1,1.041586,
33,1.46875,1,0.43956,1,0.07326,1,0.51282,1,0.10088,1,-0.007566,1,1.054196,
