File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:22:43
Begin Seconds,4950.156
End Seconds,4963.14
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.51282,1,0.14652,1,0.3663,1,0.055484,1,-0.9987121,1,0.090792,
2,0.078125,1,-0.43956,1,0.21978,1,-0.14652,1,0.047918,1,-1.006278,1,0.085748,
3,0.125,1,0.29304,1,0.3663,1,0.14652,1,0.060528,1,-1.001234,1,9.583601E-02,
4,0.1723633,1,-0.07326,1,-0.07326,1,0.43956,1,0.040352,1,-1.03402,1,0.123578,
5,0.2192383,1,-0.7326,1,0.21978,1,0.21978,1,0.040352,1,-1.05924,1,0.136188,
6,0.2651367,1,-0.43956,1,0.07326,1,0.21978,1,0.052962,1,-1.051674,1,0.116012,
7,0.2973633,1,0.14652,1,-0.29304,1,-0.29304,1,0.047918,1,-1.003756,1,0.10088,
8,0.3442383,1,-0.14652,1,0.29304,1,0.21978,1,0.06305,1,-1.011322,1,0.103402,
9,0.3901367,1,-0.07326,1,0.43956,1,0.07326,1,0.058006,1,-1.044108,1,0.1261,
10,0.4223633,1,-0.3663,1,0.80586,1,-0.14652,1,0.055484,1,-1.03402,1,0.118534,
11,0.4692383,1,0.07326,1,0.43956,1,0,1,0.047918,1,-1.003756,1,7.566001E-02,
12,0.5151367,1,-0.29304,1,0,1,-0.65934,1,0.047918,1,-1.0088,1,0.085748,
13,0.5620117,1,-0.29304,1,0.65934,1,-0.3663,1,0.052962,1,-0.9987121,1,0.090792,
14,0.5942383,1,0.65934,1,0.29304,1,-0.14652,1,0.042874,1,-1.016366,1,0.08827,
15,0.6401367,1,0.51282,1,-0.51282,1,0.07326,1,0.05044,1,-1.013844,1,0.103402,
16,0.6870117,1,-0.65934,1,0.21978,1,0.43956,1,0.060528,1,-1.061762,1,0.143754,
17,0.734375,1,-0.65934,1,0.21978,1,0,1,0.060528,1,-1.064284,1,0.128622,
18,0.78125,1,-0.51282,1,-0.21978,1,-0.58608,1,0.05044,1,-1.054196,1,0.123578,
