File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:58:07
Begin Seconds,82674.56
End Seconds,82687.13
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.51282,1,-0.3663,1,0.65934,1,1.061762,1,-0.02522,1,0.022698,
2,0.140625,1,0.21978,1,0,1,0.51282,1,1.041586,1,-0.045396,1,0.040352,
3,0.203125,1,-0.43956,1,-0.43956,1,0.7326,1,1.028976,1,-0.027742,1,0.030264,
4,0.234375,1,-0.14652,1,0.3663,1,0.43956,1,1.036542,1,-0.060528,1,0.040352,
5,0.28125,1,-1.17216,1,-0.3663,1,-0.21978,1,1.054196,1,-0.03783,1,0.027742,
6,0.328125,1,-0.65934,1,0.43956,1,0.21978,1,1.061762,1,-0.06305,1,0.045396,
7,0.359375,1,-0.3663,1,-0.29304,1,0.07326,1,1.018888,1,-0.02522,1,0.020176,
8,0.40625,1,-0.3663,1,-0.51282,1,0.95238,1,1.026454,1,-0.055484,1,0.042874,
9,0.453125,1,0.21978,1,-0.07326,1,0.65934,1,1.05924,1,-0.047918,1,0.032786,
10,0.484375,1,0.87912,1,-0.87912,1,-0.58608,1,1.054196,1,-0.058006,1,0.03783,
11,0.53125,1,-0.58608,1,0,1,0.3663,1,1.026454,1,-0.045396,1,0.022698,
12,0.5625,1,-0.29304,1,0.29304,1,-0.29304,1,1.056718,1,-0.027742,1,0.007566,
13,0.609375,1,0,1,0.07326,1,0.14652,1,1.036542,1,-0.020176,1,0.015132,
14,0.65625,1,-0.7326,1,0.07326,1,0,1,1.04663,1,-0.035308,1,0.015132,
15,0.6875,1,0.29304,1,-0.29304,1,0.58608,1,1.023932,1,-0.05044,1,0.040352,
16,0.734375,1,-0.51282,1,0.95238,1,0.21978,1,1.044108,1,-0.05044,1,0.040352,
17,0.78125,1,-0.7326,1,-0.07326,1,0.58608,1,1.066806,1,-0.045396,1,0.042874,
18,0.8125,1,-1.17216,1,0.7326,1,0.3663,1,1.036542,1,-0.047918,1,0.052962,
19,0.859375,1,-0.7326,1,0,1,-0.21978,1,1.03402,1,-0.052962,1,0.05044,
20,0.90625,1,-0.65934,1,0.51282,1,0.80586,1,1.051674,1,-0.058006,1,0.040352,
21,0.9375,1,-0.65934,1,-0.3663,1,0.43956,1,1.054196,1,-0.030264,1,0.020176,
22,0.984375,1,-1.02564,1,0.14652,1,0.51282,1,1.026454,1,-0.040352,1,0.032786,
23,1.015625,1,-0.65934,1,0.14652,1,-0.07326,1,1.064284,1,-0.06305,1,0.042874,
24,1.0625,1,-0.87912,1,-0.51282,1,-0.07326,1,1.061762,1,-0.027742,1,0.022698,
25,1.109375,1,-0.29304,1,0.07326,1,-0.51282,1,1.044108,1,-0.02522,1,0.01261,
26,1.140625,1,-1.17216,1,0.21978,1,0.14652,1,1.054196,1,-0.032786,1,0.032786,
27,1.1875,1,0,1,0.65934,1,0.29304,1,1.044108,1,-0.047918,1,0.035308,
28,1.234375,1,-0.3663,1,-0.07326,1,0.3663,1,1.039064,1,-0.02522,1,0.015132,
29,1.28125,1,-0.7326,1,-0.07326,1,0.51282,1,1.026454,1,-0.027742,1,0.020176,
30,1.3125,1,-0.14652,1,0.43956,1,0.95238,1,1.023932,1,-0.035308,1,0.022698,
31,1.359375,1,-0.43956,1,-0.58608,1,0.43956,1,1.049152,1,-0.058006,1,0.040352,
32,1.390625,1,-1.8315,1,-1.97802,1,1.31868,1,1.04663,1,-0.136188,1,-0.199238,
33,1.4375,1,-9.1575,1,0.14652,1,0.58608,1,1.013844,1,-0.078182,1,-0.035308,
34,1.484375,1,-5.1282,1,-0.14652,1,0.43956,1,1.026454,1,-0.055484,1,0.015132,
35,1.515625,1,1.90476,1,0.29304,1,0.07326,1,1.061762,1,-0.032786,1,0.017654,
36,1.5625,1,3.73626,1,0.07326,1,0,1,1.028976,1,-0.047918,1,0.045396,
37,1.609375,1,-0.51282,1,0,1,-0.14652,1,1.039064,1,-0.03783,1,0.065572,
38,1.640625,1,-0.80586,1,-0.7326,1,0.87912,1,1.064284,1,-0.030264,1,0.05044,
39,1.6875,1,-2.9304,1,0,1,0.7326,1,1.054196,1,-0.05044,1,0.030264,
40,1.734375,1,-5.78754,1,0,1,0.7326,1,1.02141,1,-0.020176,1,0.010088,
41,1.78125,1,-4.7619,1,0,1,0.7326,1,1.056718,1,-0.032786,1,0.02522,
42,1.8125,1,-3.15018,1,0.65934,1,0.95238,1,1.04663,1,-0.035308,1,0.020176,
43,1.859375,1,-0.51282,1,-0.29304,1,0.07326,1,1.049152,1,-0.02522,1,0.005044,
44,1.90625,1,1.4652,1,0.21978,1,0.07326,1,1.049152,1,-0.060528,1,0.03783,
45,1.9375,1,2.5641,1,-1.31868,1,0,1,1.054196,1,-0.052962,1,0.027742,
46,1.984375,1,2.5641,1,-0.65934,1,0.07326,1,1.064284,1,-0.032786,1,0.007566,
47,2.03125,1,3.07692,1,-0.29304,1,0.29304,1,1.028976,1,-0.040352,1,0.030264,
48,2.0625,1,1.61172,1,-0.14652,1,0.58608,1,1.018888,1,-0.03783,1,0.035308,
49,2.109375,1,5.20146,1,-0.07326,1,1.75824,1,1.041586,1,-0.035308,1,0.017654,
50,2.15625,1,-3.07692,1,-0.14652,1,0.21978,1,1.056718,1,-0.027742,1,0.01261,
51,2.1875,1,-0.14652,1,0,1,0,1,1.039064,1,-0.015132,1,0.002522,
52,2.234375,1,6.08058,1,-0.58608,1,0.29304,1,1.04663,1,-0.042874,1,0.03783,
53,2.28125,1,8.571421,1,-0.07326,1,-0.7326,1,1.05924,1,-0.035308,1,0.01261,
54,2.3125,1,8.571421,1,0,1,0.7326,1,1.051674,1,-0.027742,1,0.005044,
