File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:11:29
Begin Seconds,58258.81
End Seconds,58289.11
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.14652,1,-0.65934,1,0.14652,1,0.08827,1,-0.022698,1,-0.953316,
2,0,1,-0.43956,1,-0.95238,1,0.3663,1,0.078182,1,-0.022698,1,-0.9634041,
3,0.015625,1,-0.43956,1,-1.17216,1,0.21978,1,0.06305,1,-0.017654,1,-0.95836,
4,0.015625,1,-0.21978,1,-0.80586,1,-0.14652,1,0.060528,1,-0.030264,1,-0.948272,
5,0.015625,1,0,1,-0.51282,1,0.07326,1,0.068094,1,-0.017654,1,-0.9634041,
6,0.015625,1,-0.14652,1,-0.51282,1,0.7326,1,0.068094,1,-0.022698,1,-0.95836,
7,0.015625,1,-0.29304,1,-0.43956,1,0.65934,1,0.068094,1,-0.017654,1,-0.95836,
8,0.03125,1,-0.07326,1,-0.58608,1,0.21978,1,7.313801E-02,1,-0.005044,1,-0.968448,
9,0.03125,1,0.58608,1,-0.87912,1,0.14652,1,0.078182,1,-0.02522,1,-0.955838,
10,0.03125,1,0.21978,1,-0.58608,1,0.14652,1,9.583601E-02,1,-0.020176,1,-0.955838,
11,0.03125,1,-0.3663,1,-0.3663,1,0.21978,1,0.108446,1,-0.01261,1,-0.97097,
12,0.03125,1,-0.80586,1,-0.51282,1,0.14652,1,0.110968,1,-0.027742,1,-0.9634041,
13,0.046875,1,-0.7326,1,-0.51282,1,0.21978,1,0.108446,1,-0.020176,1,-0.9608821,
14,0.046875,1,-0.07326,1,-0.29304,1,-0.14652,1,0.105924,1,-0.02522,1,-0.9659261,
15,0.046875,1,-0.29304,1,-0.14652,1,-0.21978,1,0.10088,1,-0.035308,1,-0.9634041,
16,0.046875,1,-0.29304,1,-0.3663,1,0.21978,1,0.08827,1,-0.010088,1,-0.97097,
17,0.046875,1,-0.29304,1,-0.65934,1,0.7326,1,7.566001E-02,1,-0.007566,1,-0.9608821,
18,0.046875,1,-0.21978,1,-1.02564,1,0.80586,1,0.055484,1,-0.027742,1,-0.953316,
19,0.0625,1,0.07326,1,-0.58608,1,0.43956,1,0.058006,1,-0.015132,1,-0.9608821,
20,0.0625,1,-0.3663,1,-0.29304,1,0.3663,1,7.566001E-02,1,-0.01261,1,-0.9608821,
21,0.0625,1,-0.51282,1,-0.14652,1,0.65934,1,7.566001E-02,1,-0.02522,1,-0.948272,
22,0.0625,1,-0.14652,1,-0.29304,1,0.21978,1,7.566001E-02,1,-0.01261,1,-0.9634041,
23,0.0625,1,-1.02564,1,-0.3663,1,-0.14652,1,9.331401E-02,1,-0.015132,1,-0.9608821,
24,0.078125,1,-1.31868,1,-0.65934,1,0.07326,1,9.835801E-02,1,-0.020176,1,-0.95836,
25,0.078125,1,-0.65934,1,-0.65934,1,-0.21978,1,0.105924,1,-0.01261,1,-0.9634041,
26,0.078125,1,0.14652,1,-0.7326,1,-0.51282,1,0.110968,1,-0.022698,1,-0.948272,
