File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:12:49
Begin Seconds,58340.08
End Seconds,58369.55
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.43956,1,-0.07326,1,0.80586,1,-0.955838,1,-0.005044,1,0.042874,
2,0,1,0.21978,1,0.51282,1,0.51282,1,-0.93314,1,-0.022698,1,0.065572,
3,0,1,0.14652,1,0.51282,1,0,1,-0.918008,1,-0.007566,1,0.060528,
4,0,1,-0.3663,1,-0.29304,1,-0.43956,1,-0.92053,1,0.002522,1,0.045396,
5,0,1,-0.80586,1,0.14652,1,-0.29304,1,-0.9280961,1,-0.01261,1,0.055484,
6,0.015625,1,-0.43956,1,0.51282,1,-0.07326,1,-0.955838,1,-0.020176,1,0.058006,
7,0.015625,1,0.14652,1,0.14652,1,-0.29304,1,-0.9634041,1,-0.005044,1,0.045396,
8,0.015625,1,0.58608,1,-0.07326,1,0.29304,1,-0.968448,1,-0.007566,1,0.06305,
9,0.015625,1,0.58608,1,0.14652,1,0.43956,1,-0.976014,1,-0.010088,1,0.060528,
10,0.015625,1,0.3663,1,-0.3663,1,0.43956,1,-0.973492,1,0.007566,1,0.045396,
11,0.03125,1,0.21978,1,-0.7326,1,0.21978,1,-0.955838,1,-0.007566,1,0.060528,
12,0.03125,1,-0.07326,1,-0.7326,1,-0.07326,1,-0.950794,1,-0.007566,1,0.05044,
13,0.03125,1,-0.14652,1,-1.02564,1,0,1,-0.948272,1,-0.002522,1,0.047918,
14,0.03125,1,-0.3663,1,-0.58608,1,0.07326,1,-0.9432281,1,-0.015132,1,0.055484,
15,0.03125,1,-0.58608,1,0.14652,1,0.07326,1,-0.930618,1,-0.01261,1,0.047918,
16,0.046875,1,-0.58608,1,-0.21978,1,-0.07326,1,-0.9255741,1,-0.01261,1,0.055484,
17,0.046875,1,-0.80586,1,-0.29304,1,-0.87912,1,-0.92053,1,-0.015132,1,0.055484,
18,0.046875,1,-1.02564,1,-0.65934,1,-0.51282,1,-0.912964,1,-0.007566,1,0.045396,
19,0.046875,1,-0.21978,1,-0.3663,1,0.3663,1,-0.9104421,1,-0.027742,1,0.052962,
20,0.046875,1,0.43956,1,0,1,0.07326,1,-0.9104421,1,-0.015132,1,0.047918,
21,0.0625,1,0.21978,1,0.58608,1,0,1,-0.92053,1,-0.01261,1,0.05044,
22,0.0625,1,0.43956,1,0.51282,1,0.14652,1,-0.915486,1,-0.015132,1,0.045396,
23,0.0625,1,0.65934,1,-0.51282,1,0,1,-0.9104421,1,-0.017654,1,0.042874,
24,0.0625,1,0.07326,1,-0.65934,1,-0.29304,1,-0.918008,1,-0.01261,1,0.040352,
25,0.0625,1,-0.43956,1,-0.7326,1,-0.07326,1,-0.918008,1,-0.002522,1,0.05044,
26,0.0625,1,-0.14652,1,-0.07326,1,-0.14652,1,-0.912964,1,-0.010088,1,0.058006,
27,0.078125,1,0.14652,1,0.14652,1,-0.51282,1,-0.915486,1,-0.007566,1,0.047918,
28,0.078125,1,-0.51282,1,0.21978,1,-0.3663,1,-0.923052,1,-0.017654,1,0.05044,
29,0.078125,1,-0.21978,1,0.14652,1,-0.58608,1,-0.930618,1,-0.017654,1,0.042874,
