File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:16:52
Begin Seconds,58583.39
End Seconds,58612.69
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0,1,0,1,-0.87912,1,0.083226,1,0.955838,1,0.068094,
2,0,1,-0.07326,1,0.14652,1,-0.3663,1,7.566001E-02,1,0.968448,1,0.052962,
3,0,1,0.7326,1,0.14652,1,0.21978,1,0.065572,1,0.986102,1,0.045396,
4,0.015625,1,0.7326,1,0.07326,1,0.51282,1,0.047918,1,0.9659261,1,0.060528,
5,0.015625,1,0.14652,1,-0.07326,1,0.21978,1,0.05044,1,0.9608821,1,7.061601E-02,
6,0.015625,1,-0.58608,1,0.07326,1,0.21978,1,7.566001E-02,1,0.988624,1,0.05044,
7,0.015625,1,-0.95238,1,-0.21978,1,-0.21978,1,0.090792,1,0.993668,1,0.040352,
8,0.015625,1,-0.43956,1,-0.58608,1,0.14652,1,0.085748,1,0.97097,1,0.060528,
9,0.03125,1,-0.43956,1,-0.51282,1,0.51282,1,7.566001E-02,1,0.9810581,1,7.061601E-02,
10,0.03125,1,0,1,-0.3663,1,0.7326,1,0.06305,1,1.074372,1,0.047918,
11,0.03125,1,-0.21978,1,-0.58608,1,0.65934,1,0.052962,1,1.026454,1,0.045396,
12,0.03125,1,-1.17216,1,-0.65934,1,0.29304,1,0.055484,1,0.9608821,1,7.061601E-02,
13,0.03125,1,-0.58608,1,-0.21978,1,0.3663,1,0.080704,1,0.976014,1,0.06305,
14,0.046875,1,0.29304,1,-0.14652,1,0.80586,1,0.090792,1,0.9987121,1,0.042874,
15,0.046875,1,0.07326,1,-0.51282,1,1.02564,1,0.078182,1,0.988624,1,0.055484,
16,0.046875,1,-0.07326,1,-0.65934,1,0.87912,1,0.060528,1,0.968448,1,7.061601E-02,
17,0.046875,1,0,1,-0.7326,1,0.07326,1,0.047918,1,0.968448,1,0.052962,
18,0.046875,1,0.07326,1,-0.3663,1,-0.43956,1,0.060528,1,0.988624,1,0.045396,
19,0.046875,1,0,1,0.29304,1,0.21978,1,0.080704,1,0.9785361,1,0.068094,
20,0.0625,1,0.3663,1,0.14652,1,0.07326,1,9.331401E-02,1,0.9634041,1,0.078182,
21,0.0625,1,0.14652,1,-0.29304,1,-0.14652,1,0.090792,1,0.986102,1,0.055484,
22,0.0625,1,-0.07326,1,0.29304,1,0.07326,1,0.078182,1,0.988624,1,0.052962,
23,0.0625,1,0.29304,1,0.65934,1,-0.14652,1,0.060528,1,0.97097,1,7.313801E-02,
24,0.0625,1,0.14652,1,0,1,-0.07326,1,0.060528,1,0.9659261,1,7.061601E-02,
25,0.078125,1,-0.21978,1,-0.21978,1,-0.21978,1,0.078182,1,0.9810581,1,0.047918,
26,0.078125,1,-0.51282,1,-0.58608,1,-0.07326,1,0.08827,1,0.988624,1,0.042874,
27,0.078125,1,-0.07326,1,-0.7326,1,-0.43956,1,0.090792,1,0.976014,1,0.06305,
28,0.078125,1,0.29304,1,-0.29304,1,-0.21978,1,0.080704,1,0.9659261,1,0.06305,
29,0.078125,1,0.21978,1,0.14652,1,0.65934,1,7.061601E-02,1,0.9810581,1,0.05044,
30,0.09375,1,-0.14652,1,0.07326,1,0.80586,1,0.047918,1,0.9810581,1,0.058006,
31,0.09375,1,-0.3663,1,-0.29304,1,0.43956,1,0.042874,1,0.973492,1,0.06305,
32,0.09375,1,-0.14652,1,-0.51282,1,0.07326,1,0.040352,1,0.973492,1,0.060528,
33,0.09375,1,-0.21978,1,-0.58608,1,-0.07326,1,0.047918,1,0.9835801,1,0.052962,
34,0.09375,1,-0.29304,1,-0.43956,1,-0.3663,1,0.065572,1,0.9810581,1,0.060528,
35,0.09375,1,-0.07326,1,-0.29304,1,-0.58608,1,0.080704,1,0.9659261,1,0.078182,
36,0.09375,1,0.07326,1,-0.21978,1,-0.43956,1,0.090792,1,0.9659261,1,7.566001E-02,
37,0.109375,1,0,1,-0.21978,1,-0.21978,1,9.331401E-02,1,0.986102,1,0.055484,
38,0.109375,1,0.21978,1,0.14652,1,-0.07326,1,0.090792,1,0.991146,1,0.047918,
39,0.109375,1,0.51282,1,0.29304,1,0.29304,1,7.566001E-02,1,0.986102,1,0.052962,
40,0.109375,1,0,1,0.43956,1,0.3663,1,0.065572,1,0.968448,1,7.061601E-02,
41,0.109375,1,-0.58608,1,0.3663,1,0.14652,1,0.068094,1,0.9608821,1,0.078182,
42,0.109375,1,-0.3663,1,0.21978,1,0.3663,1,7.566001E-02,1,0.97097,1,0.068094,
43,0.125,1,0,1,0.07326,1,0.65934,1,0.085748,1,0.9961901,1,0.047918,
44,0.125,1,-0.14652,1,-0.07326,1,0.43956,1,9.331401E-02,1,0.9961901,1,0.047918,
45,0.125,1,-0.58608,1,-0.43956,1,-0.14652,1,0.083226,1,0.9785361,1,0.055484,
46,0.125,1,-1.02564,1,-0.58608,1,-0.07326,1,0.06305,1,0.9634041,1,0.060528,
47,0.125,1,-1.02564,1,-0.7326,1,0.14652,1,0.05044,1,0.97097,1,0.055484,
48,0.125,1,-0.87912,1,-0.95238,1,-0.21978,1,0.058006,1,0.991146,1,0.045396,
49,0.125,1,-0.80586,1,-1.02564,1,-0.43956,1,0.065572,1,1.003756,1,0.042874,
50,0.140625,1,-0.65934,1,-1.0989,1,-0.29304,1,0.083226,1,0.9961901,1,0.058006,
51,0.140625,1,0.07326,1,-0.95238,1,0.21978,1,0.08827,1,0.973492,1,7.061601E-02,
52,0.140625,1,0.29304,1,-0.43956,1,0.21978,1,7.313801E-02,1,0.9608821,1,7.061601E-02,
53,0.140625,1,0.43956,1,0.21978,1,0.21978,1,0.060528,1,0.976014,1,0.055484,
54,0.140625,1,0.3663,1,0.29304,1,0.3663,1,0.058006,1,0.993668,1,0.040352,
55,0.140625,1,-0.14652,1,0.29304,1,0.3663,1,7.566001E-02,1,0.993668,1,0.03783,
56,0.15625,1,-0.07326,1,0.07326,1,-0.21978,1,9.331401E-02,1,0.9785361,1,0.058006,
57,0.15625,1,0.21978,1,-0.3663,1,-0.14652,1,9.583601E-02,1,0.9634041,1,7.313801E-02,
58,0.15625,1,0.29304,1,-0.65934,1,0,1,0.078182,1,0.968448,1,0.068094,
59,0.15625,1,0.29304,1,-0.7326,1,-0.14652,1,0.060528,1,0.9835801,1,0.03783,
60,0.15625,1,0.21978,1,-1.02564,1,0.29304,1,0.058006,1,0.9835801,1,0.03783,
61,0.15625,1,0.51282,1,-0.65934,1,1.02564,1,0.068094,1,0.968448,1,0.058006,
62,0.171875,1,0.58608,1,-0.29304,1,0.58608,1,0.083226,1,0.95836,1,0.060528,
63,0.171875,1,0.21978,1,-0.43956,1,0.21978,1,0.090792,1,0.973492,1,0.052962,
64,0.171875,1,-0.07326,1,-0.65934,1,0.58608,1,0.083226,1,0.991146,1,0.05044,
65,0.171875,1,-0.07326,1,-0.80586,1,0.80586,1,0.065572,1,0.986102,1,0.058006,
66,0.171875,1,0.07326,1,-0.95238,1,0.51282,1,0.058006,1,0.968448,1,0.065572,
67,0.171875,1,0.58608,1,-1.24542,1,0.29304,1,0.060528,1,0.9659261,1,0.065572,
68,0.1875,1,0.80586,1,-1.17216,1,0.51282,1,0.060528,1,0.986102,1,0.042874,
69,0.1875,1,0.29304,1,0.21978,1,-0.07326,1,7.313801E-02,1,0.993668,1,0.045396,
70,0.1875,1,0.21978,1,0.29304,1,-0.43956,1,0.08827,1,0.9659261,1,0.065572,
71,0.1875,1,1.0989,1,-0.21978,1,0.21978,1,0.090792,1,0.9634041,1,0.060528,
72,0.1875,1,1.61172,1,0,1,0.29304,1,7.313801E-02,1,0.9810581,1,0.05044,
73,0.203125,1,1.0989,1,0,1,0.14652,1,0.052962,1,0.988624,1,0.058006,
74,0.203125,1,0.07326,1,-0.58608,1,0.07326,1,0.060528,1,0.973492,1,0.068094,
75,0.203125,1,0,1,-1.0989,1,-0.07326,1,7.061601E-02,1,0.9810581,1,0.060528,
76,0.203125,1,0.14652,1,-0.87912,1,-0.07326,1,0.083226,1,0.991146,1,0.05044,
77,0.203125,1,0.29304,1,-0.80586,1,0.14652,1,0.083226,1,0.993668,1,0.047918,
78,0.203125,1,0.51282,1,-0.51282,1,0.43956,1,0.06305,1,0.976014,1,0.055484,
79,0.21875,1,0.14652,1,-0.3663,1,0.3663,1,0.052962,1,0.97097,1,0.055484,
80,0.21875,1,-0.29304,1,-0.51282,1,0.14652,1,0.055484,1,0.9835801,1,0.045396,
81,0.21875,1,-0.51282,1,0.21978,1,-0.14652,1,0.083226,1,0.991146,1,0.047918,
82,0.21875,1,-0.29304,1,0.58608,1,-0.14652,1,9.331401E-02,1,0.9810581,1,0.06305,
83,0.21875,1,-0.21978,1,0.51282,1,0.14652,1,0.083226,1,0.968448,1,7.566001E-02,
84,0.234375,1,0,1,0.43956,1,0.21978,1,0.047918,1,0.976014,1,0.065572,
85,0.234375,1,-0.07326,1,0.21978,1,0.07326,1,0.040352,1,0.991146,1,0.05044,
86,0.234375,1,0.3663,1,0.21978,1,0.14652,1,0.042874,1,0.976014,1,0.047918,
87,0.234375,1,0.87912,1,0.43956,1,0.29304,1,7.061601E-02,1,0.95836,1,0.065572,
88,0.234375,1,1.0989,1,0.07326,1,0.14652,1,0.090792,1,0.9659261,1,7.061601E-02,
89,0.234375,1,1.53846,1,-0.21978,1,0.29304,1,0.090792,1,0.976014,1,0.052962,
90,0.25,1,1.17216,1,-0.21978,1,-0.3663,1,0.065572,1,0.9810581,1,0.052962,
91,0.25,1,0.43956,1,0.07326,1,-0.3663,1,0.058006,1,0.968448,1,0.065572,
92,0.25,1,0.07326,1,0.43956,1,-0.14652,1,0.06305,1,0.9608821,1,7.313801E-02,
93,0.25,1,0.14652,1,0,1,0.07326,1,0.078182,1,0.9810581,1,0.060528,
94,0.25,1,0.14652,1,-0.3663,1,0.29304,1,0.083226,1,0.9961901,1,0.045396,
95,0.265625,1,0.14652,1,-0.14652,1,0.07326,1,0.083226,1,0.9835801,1,0.052962,
96,0.265625,1,0.43956,1,0.21978,1,-0.21978,1,0.085748,1,0.968448,1,0.06305,
97,0.265625,1,0.21978,1,0,1,0.3663,1,0.065572,1,0.988624,1,0.083226,
98,0.265625,1,0.07326,1,-0.21978,1,0.87912,1,0.052962,1,0.993668,1,0.121056,
99,0.265625,1,0.14652,1,-0.21978,1,0.80586,1,0.05044,1,0.97097,1,0.085748,
100,0.265625,1,0,1,-0.3663,1,0.07326,1,0.060528,1,0.9785361,1,0.060528,
101,0.28125,1,-0.07326,1,-0.65934,1,0.07326,1,0.078182,1,0.993668,1,0.05044,
102,0.28125,1,0,1,-1.17216,1,0,1,0.090792,1,0.9810581,1,0.05044,
103,0.28125,1,-0.21978,1,-0.95238,1,-0.21978,1,7.566001E-02,1,0.968448,1,0.065572,
104,0.28125,1,-0.3663,1,-1.02564,1,-0.21978,1,0.040352,1,0.97097,1,0.058006,
105,0.28125,1,-0.3663,1,-1.17216,1,-0.07326,1,0.035308,1,0.9810581,1,0.045396,
106,0.296875,1,-0.14652,1,-0.80586,1,0.21978,1,0.058006,1,0.97097,1,0.06305,
107,0.296875,1,-0.21978,1,-0.21978,1,0,1,0.068094,1,0.955838,1,0.068094,
108,0.296875,1,-0.21978,1,0.14652,1,-0.14652,1,7.566001E-02,1,0.973492,1,0.05044,
109,0.296875,1,-0.21978,1,-0.29304,1,0.14652,1,9.331401E-02,1,0.973492,1,0.055484,
110,0.296875,1,-0.21978,1,-0.58608,1,0.3663,1,0.085748,1,0.9634041,1,7.061601E-02,
111,0.3125,1,-0.51282,1,-0.21978,1,0.43956,1,7.566001E-02,1,0.9810581,1,0.055484,
112,0.3125,1,-0.58608,1,-0.3663,1,0.58608,1,0.055484,1,0.986102,1,0.042874,
113,0.3125,1,-0.7326,1,0.07326,1,0.65934,1,0.047918,1,0.97097,1,0.058006,
114,0.3125,1,-0.51282,1,0,1,0.51282,1,0.065572,1,0.97097,1,0.060528,
115,0.3125,1,0.07326,1,-0.65934,1,0.21978,1,0.078182,1,0.986102,1,0.047918,
116,0.328125,1,-0.14652,1,-0.51282,1,0.43956,1,0.085748,1,0.991146,1,0.058006,
117,0.328125,1,-0.7326,1,-0.58608,1,0.58608,1,0.085748,1,0.968448,1,0.068094,
118,0.328125,1,-0.43956,1,-0.07326,1,0.21978,1,7.313801E-02,1,0.968448,1,7.061601E-02,
119,0.328125,1,0.14652,1,0.21978,1,0.3663,1,0.05044,1,0.986102,1,0.052962,
120,0.328125,1,-0.07326,1,0.14652,1,0.29304,1,0.05044,1,0.973492,1,0.058006,
121,0.34375,1,-0.51282,1,-0.3663,1,0.29304,1,7.313801E-02,1,0.9608821,1,7.061601E-02,
122,0.34375,1,-0.65934,1,-0.29304,1,0.3663,1,0.08827,1,0.973492,1,0.052962,
123,0.34375,1,-0.51282,1,-0.07326,1,0.51282,1,9.835801E-02,1,0.9835801,1,0.042874,
124,0.34375,1,-0.29304,1,0.29304,1,0.80586,1,0.085748,1,0.976014,1,0.055484,
125,0.34375,1,0,1,0.14652,1,0.58608,1,0.06305,1,0.9659261,1,7.061601E-02,
126,0.359375,1,0.21978,1,-0.51282,1,0.21978,1,0.055484,1,0.9785361,1,0.058006,
127,0.359375,1,0.29304,1,-0.07326,1,-0.14652,1,0.065572,1,0.9810581,1,0.040352,
128,0.359375,1,0.21978,1,0.43956,1,-0.07326,1,0.080704,1,0.97097,1,0.055484,
129,0.359375,1,0.58608,1,-0.29304,1,0.21978,1,0.085748,1,0.9659261,1,7.061601E-02,
130,0.359375,1,1.4652,1,-0.65934,1,0.3663,1,7.313801E-02,1,0.9785361,1,0.052962,
131,0.375,1,1.31868,1,-0.3663,1,0.29304,1,0.05044,1,0.9987121,1,0.040352,
132,0.375,1,0.3663,1,-0.51282,1,0.3663,1,0.055484,1,0.993668,1,0.052962,
133,0.375,1,-0.21978,1,-0.07326,1,0.43956,1,0.080704,1,0.97097,1,0.065572,
134,0.375,1,0.07326,1,0,1,-0.29304,1,0.08827,1,0.973492,1,0.058006,
135,0.375,1,0.43956,1,-0.29304,1,-0.80586,1,0.080704,1,0.993668,1,0.045396,
136,0.375,1,-0.3663,1,-0.3663,1,-0.07326,1,0.068094,1,0.986102,1,0.058006,
137,0.390625,1,-0.3663,1,-0.07326,1,0.3663,1,0.052962,1,0.968448,1,0.065572,
138,0.390625,1,0.14652,1,-0.14652,1,0.21978,1,0.047918,1,0.976014,1,0.055484,
139,0.390625,1,0.58608,1,-0.43956,1,-0.07326,1,0.065572,1,0.9835801,1,0.05044,
140,0.390625,1,0.95238,1,0,1,-0.3663,1,0.083226,1,0.973492,1,0.068094,
141,0.390625,1,0.58608,1,0.21978,1,-0.58608,1,0.103402,1,0.9810581,1,0.060528,
142,0.40625,1,0.51282,1,-0.43956,1,0.07326,1,0.110968,1,0.988624,1,0.03783,
143,0.40625,1,0.29304,1,-1.0989,1,0.65934,1,0.083226,1,0.9785361,1,0.045396,
144,0.40625,1,0.07326,1,-0.43956,1,0.43956,1,0.058006,1,0.9634041,1,0.065572,
145,0.40625,1,0.43956,1,-0.29304,1,-0.07326,1,0.052962,1,0.97097,1,0.06305,
146,0.40625,1,0.58608,1,-0.65934,1,-0.58608,1,0.065572,1,0.9961901,1,0.05044,
147,0.421875,1,0.21978,1,-0.7326,1,-0.65934,1,0.068094,1,0.9835801,1,0.055484,
148,0.421875,1,-0.14652,1,-0.14652,1,-0.29304,1,0.078182,1,0.9634041,1,0.065572,
149,0.421875,1,-0.3663,1,0.07326,1,-0.3663,1,9.331401E-02,1,0.976014,1,0.05044,
150,0.421875,1,-0.3663,1,-0.3663,1,-0.58608,1,0.085748,1,0.991146,1,0.042874,
151,0.421875,1,0.14652,1,-0.29304,1,-0.07326,1,7.566001E-02,1,0.9835801,1,0.060528,
152,0.421875,1,0.3663,1,-0.14652,1,0,1,0.058006,1,0.973492,1,7.313801E-02,
153,0.4375,1,0.3663,1,-0.29304,1,-0.14652,1,0.052962,1,0.9785361,1,0.060528,
154,0.4375,1,0.29304,1,-0.51282,1,-0.29304,1,0.06305,1,0.993668,1,0.045396,
155,0.4375,1,-0.51282,1,-0.65934,1,0.14652,1,7.566001E-02,1,0.9810581,1,0.052962,
156,0.4375,1,-0.3663,1,-0.07326,1,0.58608,1,0.085748,1,0.97097,1,0.065572,
157,0.4375,1,0.07326,1,0.87912,1,0.7326,1,9.331401E-02,1,0.9835801,1,0.052962,
158,0.4375,1,0.21978,1,0.87912,1,0.3663,1,0.090792,1,0.9810581,1,0.055484,
159,0.453125,1,-0.29304,1,0.3663,1,0,1,0.078182,1,0.968448,1,0.078182,
160,0.453125,1,-0.3663,1,0.29304,1,0.21978,1,0.05044,1,0.976014,1,0.06305,
161,0.453125,1,0.51282,1,-0.14652,1,0.21978,1,0.045396,1,0.9810581,1,0.047918,
162,0.453125,1,1.0989,1,-0.21978,1,0.21978,1,0.065572,1,0.968448,1,7.313801E-02,
163,0.453125,1,0.87912,1,-0.43956,1,0.43956,1,7.313801E-02,1,0.9659261,1,0.080704,
164,0.46875,1,0.21978,1,-0.29304,1,0.51282,1,0.078182,1,0.9785361,1,0.060528,
165,0.46875,1,-0.21978,1,0.14652,1,0.14652,1,0.08827,1,0.986102,1,0.035308,
166,0.46875,1,-0.29304,1,0.07326,1,-0.29304,1,7.313801E-02,1,0.9785361,1,0.042874,
167,0.46875,1,0.29304,1,-0.51282,1,-0.29304,1,0.05044,1,0.968448,1,0.068094,
168,0.46875,1,0.58608,1,-0.51282,1,0.14652,1,0.042874,1,0.97097,1,0.060528,
169,0.484375,1,-0.3663,1,0.14652,1,1.0989,1,0.05044,1,0.9785361,1,0.058006,
170,0.484375,1,-0.3663,1,0.21978,1,0.95238,1,0.06305,1,0.9659261,1,7.566001E-02,
171,0.484375,1,-0.07326,1,0.07326,1,0.29304,1,0.083226,1,0.9659261,1,0.068094,
172,0.484375,1,0,1,0.43956,1,-0.07326,1,9.835801E-02,1,0.9835801,1,0.045396,
173,0.484375,1,-0.07326,1,0.21978,1,0.21978,1,0.085748,1,0.988624,1,0.040352,
174,0.484375,1,-0.3663,1,0.29304,1,0.29304,1,0.068094,1,0.968448,1,0.058006,
175,0.5,1,-0.21978,1,0.21978,1,-0.07326,1,0.060528,1,0.9634041,1,0.068094,
176,0.5,1,-0.65934,1,0,1,-0.21978,1,0.065572,1,0.9810581,1,0.045396,
177,0.5,1,-0.87912,1,0.29304,1,-0.21978,1,0.078182,1,0.986102,1,0.047918,
178,0.5,1,-0.80586,1,-0.29304,1,-0.29304,1,9.331401E-02,1,0.97097,1,0.068094,
179,0.5,1,-0.58608,1,-0.7326,1,-0.29304,1,0.085748,1,0.9835801,1,0.060528,
180,0.515625,1,-0.51282,1,0.07326,1,0.3663,1,0.065572,1,0.9961901,1,0.047918,
181,0.515625,1,-0.29304,1,0.14652,1,0.7326,1,0.058006,1,0.976014,1,0.055484,
182,0.515625,1,0.07326,1,-0.43956,1,0,1,0.058006,1,0.968448,1,0.068094,
183,0.515625,1,-0.07326,1,-0.43956,1,0,1,7.566001E-02,1,0.9785361,1,0.05044,
184,0.515625,1,-0.51282,1,0,1,0.07326,1,0.090792,1,0.9810581,1,0.045396,
185,0.53125,1,-0.29304,1,0.58608,1,0.21978,1,9.583601E-02,1,0.9608821,1,0.065572,
186,0.53125,1,0.51282,1,0.58608,1,0.3663,1,0.078182,1,0.9608821,1,0.065572,
187,0.53125,1,0.7326,1,0.3663,1,0.07326,1,0.055484,1,0.991146,1,0.05044,
188,0.53125,1,0.43956,1,-0.14652,1,-0.14652,1,0.060528,1,0.991146,1,0.047918,
189,0.53125,1,0,1,-0.43956,1,0.29304,1,0.085748,1,0.968448,1,0.06305,
190,0.546875,1,0.3663,1,-0.58608,1,0.43956,1,0.090792,1,0.97097,1,0.065572,
191,0.546875,1,0.7326,1,-0.14652,1,-0.07326,1,0.085748,1,0.988624,1,0.058006,
