File Name,DATALOG_1.csv
Date,2010-08-01
Time,¿ÀÈÄ 4:38:51
Begin Seconds,59901.94
End Seconds,59931.02
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.58608,1,-0.58608,1,-0.29304,1,0.123578,1,-0.471614,1,-0.84487,
2,0,1,-0.29304,1,-0.51282,1,0.21978,1,0.141232,1,-0.481702,1,-0.83226,
3,0,1,0.29304,1,-0.21978,1,0.29304,1,0.158886,1,-0.501878,1,-0.8171281,
4,0,1,0.14652,1,-0.29304,1,0.21978,1,0.168974,1,-0.494312,1,-0.8347821,
5,0.015625,1,0.58608,1,-0.3663,1,0.21978,1,0.16393,1,-0.481702,1,-0.847392,
6,0.015625,1,0.58608,1,-0.14652,1,0.21978,1,0.141232,1,-0.49179,1,-0.8373041,
7,0.015625,1,0.07326,1,-0.07326,1,0.29304,1,0.128622,1,-0.494312,1,-0.822172,
8,0.015625,1,-0.21978,1,0.21978,1,0.51282,1,0.131144,1,-0.484224,1,-0.824694,
9,0.015625,1,-0.21978,1,-0.07326,1,0.07326,1,0.161408,1,-0.47918,1,-0.842348,
10,0.03125,1,0.07326,1,-0.21978,1,-0.3663,1,0.168974,1,-0.476658,1,-0.842348,
11,0.03125,1,0,1,-0.43956,1,0,1,0.143754,1,-0.494312,1,-0.824694,
12,0.03125,1,-0.14652,1,-0.80586,1,0.14652,1,0.123578,1,-0.494312,1,-0.83226,
13,0.03125,1,-0.3663,1,-0.80586,1,0.29304,1,0.133666,1,-0.476658,1,-0.849914,
14,0.03125,1,-0.3663,1,-0.95238,1,0.29304,1,0.156364,1,-0.474136,1,-0.842348,
15,0.03125,1,-0.14652,1,-0.65934,1,-0.3663,1,0.168974,1,-0.496834,1,-0.8347821,
16,0.046875,1,-0.43956,1,-0.3663,1,-0.3663,1,0.156364,1,-0.496834,1,-0.829738,
17,0.046875,1,-0.43956,1,-0.43956,1,0,1,0.131144,1,-0.474136,1,-0.847392,
18,0.046875,1,0,1,-0.51282,1,0.29304,1,0.128622,1,-0.469092,1,-0.8524361,
19,0.046875,1,-0.14652,1,-0.21978,1,0.43956,1,0.143754,1,-0.499356,1,-0.827216,
20,0.046875,1,-0.51282,1,-0.29304,1,0.14652,1,0.166452,1,-0.506922,1,-0.8196501,
21,0.0625,1,-0.29304,1,-0.65934,1,0.07326,1,0.166452,1,-0.496834,1,-0.839826,
22,0.0625,1,-0.21978,1,-0.7326,1,-0.29304,1,0.136188,1,-0.476658,1,-0.849914,
23,0.0625,1,-0.58608,1,-0.07326,1,-0.43956,1,0.128622,1,-0.481702,1,-0.839826,
24,0.0625,1,-0.80586,1,-0.51282,1,-0.43956,1,0.148798,1,-0.501878,1,-0.827216,
25,0.0625,1,-0.14652,1,-0.65934,1,-0.58608,1,0.156364,1,-0.499356,1,-0.83226,
26,0.078125,1,0.21978,1,-0.07326,1,-0.21978,1,0.153842,1,-0.476658,1,-0.85748,
27,0.078125,1,0.21978,1,-0.14652,1,0.21978,1,0.143754,1,-0.469092,1,-0.860002,
28,0.078125,1,-0.14652,1,-0.43956,1,0.29304,1,0.131144,1,-0.489268,1,-0.84487,
29,0.078125,1,0.21978,1,-0.3663,1,0.3663,1,0.141232,1,-0.499356,1,-0.827216,
30,0.078125,1,0.7326,1,-0.21978,1,0.65934,1,0.156364,1,-0.494312,1,-0.824694,
31,0.09375,1,0.43956,1,-0.29304,1,0.80586,1,0.156364,1,-0.47918,1,-0.839826,
32,0.09375,1,-0.3663,1,-0.3663,1,0.65934,1,0.136188,1,-0.46657,1,-0.849914,
33,0.09375,1,-0.07326,1,-0.43956,1,0.43956,1,0.136188,1,-0.474136,1,-0.849914,
34,0.09375,1,0.3663,1,-0.3663,1,-0.43956,1,0.161408,1,-0.484224,1,-0.8347821,
35,0.09375,1,-0.07326,1,-0.51282,1,-0.21978,1,0.156364,1,-0.489268,1,-0.8171281,
36,0.09375,1,0.21978,1,-0.95238,1,0.29304,1,0.136188,1,-0.486746,1,-0.8171281,
37,0.109375,1,0,1,-1.24542,1,0.07326,1,0.128622,1,-0.471614,1,-0.8347821,
38,0.109375,1,0.3663,1,-1.61172,1,0.14652,1,0.146276,1,-0.469092,1,-0.84487,
39,0.109375,1,1.0989,1,-0.95238,1,-0.07326,1,0.171496,1,-0.489268,1,-0.8373041,
40,0.109375,1,0.14652,1,-0.87912,1,-0.51282,1,0.166452,1,-0.494312,1,-0.824694,
41,0.109375,1,-0.51282,1,-1.0989,1,-0.65934,1,0.148798,1,-0.494312,1,-0.829738,
42,0.125,1,-0.29304,1,-1.17216,1,-0.3663,1,0.128622,1,-0.46657,1,-0.842348,
43,0.125,1,-0.14652,1,-1.31868,1,-0.07326,1,0.13871,1,-0.456482,1,-0.847392,
44,0.125,1,-0.43956,1,-1.4652,1,0.14652,1,0.158886,1,-0.484224,1,-0.8373041,
45,0.125,1,-0.65934,1,-1.17216,1,0.14652,1,0.143754,1,-0.501878,1,-0.824694,
46,0.125,1,-0.65934,1,-0.87912,1,0.29304,1,0.121056,1,-0.499356,1,-0.8196501,
47,0.140625,1,-0.43956,1,-0.3663,1,0.3663,1,0.121056,1,-0.486746,1,-0.84487,
48,0.140625,1,-0.14652,1,-0.07326,1,-0.07326,1,0.153842,1,-0.476658,1,-0.860002,
49,0.140625,1,-0.14652,1,-0.43956,1,-0.3663,1,0.158886,1,-0.481702,1,-0.8524361,
50,0.140625,1,-0.14652,1,-0.51282,1,0,1,0.13871,1,-0.49179,1,-0.83226,
51,0.140625,1,0.07326,1,-0.58608,1,0.43956,1,0.1261,1,-0.5044,1,-0.8171281,
52,0.140625,1,0.29304,1,-0.95238,1,0.43956,1,0.146276,1,-0.496834,1,-0.827216,
53,0.15625,1,0.43956,1,-1.17216,1,-0.07326,1,0.16393,1,-0.484224,1,-0.84487,
54,0.15625,1,0.14652,1,-1.53846,1,-0.95238,1,0.15132,1,-0.469092,1,-0.865046,
55,0.15625,1,0.07326,1,-1.31868,1,-1.02564,1,0.133666,1,-0.47918,1,-0.860002,
56,0.15625,1,0.21978,1,-0.80586,1,-0.51282,1,0.136188,1,-0.499356,1,-0.824694,
57,0.15625,1,-0.29304,1,-1.02564,1,-0.58608,1,0.158886,1,-0.501878,1,-0.812084,
58,0.171875,1,-0.43956,1,-0.51282,1,-0.07326,1,0.153842,1,-0.5044,1,-0.822172,
59,0.171875,1,-0.3663,1,0.14652,1,0.87912,1,0.131144,1,-0.486746,1,-0.829738,
60,0.171875,1,-0.07326,1,0.58608,1,0.87912,1,0.13871,1,-0.474136,1,-0.8373041,
61,0.171875,1,-0.21978,1,0.65934,1,0.65934,1,0.15132,1,-0.471614,1,-0.842348,
62,0.171875,1,-0.3663,1,0.58608,1,0.07326,1,0.148798,1,-0.486746,1,-0.822172,
63,0.171875,1,-0.07326,1,-0.07326,1,-0.58608,1,0.133666,1,-0.494312,1,-0.786864,
64,0.1875,1,-0.29304,1,-0.65934,1,-0.87912,1,0.133666,1,-0.484224,1,-0.7994741,
65,0.1875,1,-0.43956,1,-0.95238,1,-0.29304,1,0.16393,1,-0.46657,1,-0.8373041,
66,0.1875,1,-0.51282,1,-0.43956,1,-0.07326,1,0.174018,1,-0.461526,1,-0.847392,
67,0.1875,1,-0.51282,1,0,1,-0.29304,1,0.143754,1,-0.486746,1,-0.8347821,
68,0.1875,1,0.07326,1,-0.7326,1,-0.29304,1,0.123578,1,-0.501878,1,-0.814606,
69,0.203125,1,0.14652,1,-0.95238,1,-0.3663,1,0.133666,1,-0.499356,1,-0.814606,
70,0.203125,1,0,1,-0.7326,1,0.07326,1,0.16393,1,-0.481702,1,-0.83226,
71,0.203125,1,-0.14652,1,-0.29304,1,0.21978,1,0.166452,1,-0.471614,1,-0.842348,
72,0.203125,1,-0.07326,1,-0.3663,1,0.29304,1,0.143754,1,-0.494312,1,-0.83226,
73,0.203125,1,-0.14652,1,-0.58608,1,0.14652,1,0.136188,1,-0.5044,1,-0.809562,
74,0.21875,1,-0.29304,1,-0.51282,1,0.14652,1,0.158886,1,-0.49179,1,-0.814606,
75,0.21875,1,-0.21978,1,-0.3663,1,-0.07326,1,0.168974,1,-0.47918,1,-0.8373041,
76,0.21875,1,0,1,-0.07326,1,-0.29304,1,0.153842,1,-0.47918,1,-0.842348,
77,0.21875,1,0.3663,1,0,1,-0.14652,1,0.146276,1,-0.499356,1,-0.827216,
78,0.21875,1,-0.07326,1,-0.21978,1,-0.3663,1,0.131144,1,-0.494312,1,-0.829738,
79,0.234375,1,-0.7326,1,-0.14652,1,-0.29304,1,0.136188,1,-0.474136,1,-0.84487,
80,0.234375,1,-0.51282,1,0.07326,1,0.14652,1,0.16393,1,-0.47918,1,-0.842348,
81,0.234375,1,0.07326,1,-0.29304,1,-0.14652,1,0.166452,1,-0.489268,1,-0.8373041,
82,0.234375,1,0.58608,1,-0.3663,1,0.07326,1,0.13871,1,-0.494312,1,-0.824694,
83,0.234375,1,0.21978,1,-0.29304,1,1.0989,1,0.123578,1,-0.484224,1,-0.83226,
84,0.234375,1,-0.07326,1,-0.43956,1,1.17216,1,0.128622,1,-0.474136,1,-0.84487,
85,0.25,1,0.21978,1,-0.51282,1,1.02564,1,0.148798,1,-0.489268,1,-0.842348,
86,0.25,1,0.51282,1,-0.87912,1,0.7326,1,0.161408,1,-0.5044,1,-0.8196501,
87,0.25,1,0.58608,1,-1.0989,1,0.29304,1,0.153842,1,-0.511966,1,-0.8171281,
88,0.25,1,0.51282,1,-1.24542,1,0.58608,1,0.131144,1,-0.499356,1,-0.83226,
89,0.25,1,0.65934,1,-0.80586,1,0.80586,1,0.13871,1,-0.47918,1,-0.8524361,
90,0.265625,1,0.65934,1,-0.3663,1,0.29304,1,0.158886,1,-0.476658,1,-0.8524361,
91,0.265625,1,0,1,0,1,-0.21978,1,0.158886,1,-0.489268,1,-0.829738,
92,0.265625,1,-0.3663,1,-0.21978,1,-0.14652,1,0.13871,1,-0.489268,1,-0.824694,
93,0.265625,1,-0.3663,1,-0.14652,1,0.07326,1,0.1261,1,-0.471614,1,-0.842348,
94,0.265625,1,-0.43956,1,0.29304,1,-0.29304,1,0.146276,1,-0.464048,1,-0.849914,
95,0.28125,1,-0.29304,1,-0.14652,1,-0.07326,1,0.16393,1,-0.471614,1,-0.847392,
96,0.28125,1,0.07326,1,-0.58608,1,0.29304,1,0.13871,1,-0.484224,1,-0.829738,
97,0.28125,1,0.3663,1,-1.02564,1,0.51282,1,0.128622,1,-0.499356,1,-0.814606,
98,0.28125,1,0.29304,1,-1.0989,1,0.65934,1,0.153842,1,-0.494312,1,-0.827216,
99,0.28125,1,-0.43956,1,-0.7326,1,0.29304,1,0.168974,1,-0.486746,1,-0.84487,
100,0.296875,1,-0.3663,1,-0.80586,1,-0.07326,1,0.15132,1,-0.481702,1,-0.849914,
101,0.296875,1,0.07326,1,-1.24542,1,-0.3663,1,0.133666,1,-0.486746,1,-0.839826,
102,0.296875,1,-0.7326,1,-1.31868,1,0.07326,1,0.128622,1,-0.49179,1,-0.829738,
103,0.296875,1,-0.87912,1,-1.0989,1,0.65934,1,0.141232,1,-0.494312,1,-0.827216,
104,0.296875,1,-0.21978,1,-0.3663,1,1.0989,1,0.168974,1,-0.486746,1,-0.839826,
105,0.296875,1,0.07326,1,-0.14652,1,0.87912,1,0.166452,1,-0.471614,1,-0.847392,
106,0.3125,1,0,1,-0.3663,1,0.7326,1,0.136188,1,-0.484224,1,-0.83226,
107,0.3125,1,0.29304,1,-0.43956,1,0.80586,1,0.128622,1,-0.501878,1,-0.83226,
108,0.3125,1,0.14652,1,-0.21978,1,0.43956,1,0.143754,1,-0.494312,1,-0.83226,
109,0.3125,1,-0.21978,1,-0.3663,1,0.07326,1,0.174018,1,-0.474136,1,-0.8373041,
110,0.3125,1,0.07326,1,-0.65934,1,0.29304,1,0.168974,1,-0.476658,1,-0.842348,
111,0.328125,1,0,1,-0.87912,1,0.43956,1,0.153842,1,-0.489268,1,-0.824694,
112,0.328125,1,-0.07326,1,-0.58608,1,0.21978,1,0.13871,1,-0.496834,1,-0.8196501,
113,0.328125,1,-0.14652,1,-0.43956,1,0,1,0.148798,1,-0.489268,1,-0.827216,
114,0.328125,1,-0.51282,1,-0.3663,1,-0.07326,1,0.166452,1,-0.471614,1,-0.849914,
115,0.328125,1,-0.14652,1,-0.21978,1,-0.29304,1,0.156364,1,-0.469092,1,-0.8524361,
116,0.34375,1,0.29304,1,-0.07326,1,-0.07326,1,0.141232,1,-0.47918,1,-0.8373041,
117,0.34375,1,0.58608,1,-0.14652,1,0,1,0.13871,1,-0.5044,1,-0.824694,
118,0.34375,1,0.7326,1,-0.58608,1,0.29304,1,0.148798,1,-0.5044,1,-0.8196501,
