File Name,DATALOG_1.csv
Date,2010-08-13
Time,¿ÀÀü 1:03:47
Begin Seconds,3817.046
End Seconds,3827.953
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.14652,1,-0.14652,1,-0.07326,1,0.027742,1,-0.047918,1,-0.95836,
2,0.1411133,1,0.43956,1,0.29304,1,0.58608,1,0.010088,1,-0.042874,1,-0.973492,
3,0.1721191,1,0.07326,1,-0.14652,1,0.29304,1,0.027742,1,-0.055484,1,-0.953316,
4,0.2189941,1,0.07326,1,0.29304,1,-0.65934,1,0.022698,1,-7.061601E-02,1,-0.95836,
5,0.2661133,1,-0.14652,1,-0.43956,1,-0.07326,1,0.030264,1,-0.068094,1,-0.948272,
6,0.3129883,1,0.07326,1,-0.3663,1,-0.07326,1,0.02522,1,-9.583601E-02,1,-0.918008,
7,0.3439941,1,0.58608,1,-0.21978,1,0.21978,1,0.032786,1,-0.045396,1,-0.973492,
8,0.3911133,1,-0.07326,1,-0.29304,1,-0.21978,1,0.010088,1,-0.083226,1,-0.93314,
9,0.4379883,1,-0.21978,1,0.21978,1,0.07326,1,0.020176,1,-0.052962,1,-0.948272,
10,0.4851074,1,0.87912,1,0.65934,1,0.21978,1,0.017654,1,-9.331401E-02,1,-0.93314,
11,0.5161133,1,-0.21978,1,-0.21978,1,0.43956,1,0.030264,1,-0.045396,1,-0.953316,
12,0.5629883,1,0.07326,1,-0.43956,1,0,1,0.022698,1,-0.06305,1,-0.97097,
13,0.6101074,1,-0.58608,1,-0.43956,1,-0.65934,1,0.022698,1,-0.078182,1,-0.902876,
14,0.6569824,1,0.7326,1,-0.3663,1,0.51282,1,0.035308,1,-0.035308,1,-0.9785361,
15,0.6879883,1,0.43956,1,-0.07326,1,-0.14652,1,0.010088,1,-7.566001E-02,1,-0.93314,
16,0.7351074,1,-0.65934,1,-0.21978,1,0.3663,1,0.027742,1,-9.331401E-02,1,-0.92053,
17,0.7819824,1,-0.95238,1,2.12454,1,0.95238,1,-0.02522,1,-0.08827,1,-1.006278,
18,0.8291016,1,0.65934,1,-1.02564,1,0,1,0.1261,1,-0.060528,1,-0.9810581,
19,0.875,1,0,1,1.02564,1,-0.14652,1,0.052962,1,-0.058006,1,-0.923052,
20,0.9069824,1,-0.43956,1,-0.51282,1,0.07326,1,0.040352,1,-0.080704,1,-0.948272,
21,0.9541016,1,0.3663,1,0.3663,1,-0.43956,1,0.020176,1,-0.090792,1,-0.9280961,
22,1,1,0.65934,1,-0.07326,1,-0.21978,1,0.030264,1,-0.05044,1,-0.948272,
23,1.031982,1,0.14652,1,-0.14652,1,-0.07326,1,0.015132,1,-0.040352,1,-0.97097,
24,1.079102,1,0.07326,1,-0.43956,1,0.29304,1,0.02522,1,-9.835801E-02,1,-0.9255741,
25,1.125,1,0.3663,1,-0.7326,1,0.29304,1,0.020176,1,-0.040352,1,-0.9659261,
26,1.172119,1,0,1,0.58608,1,0,1,0.040352,1,-9.583601E-02,1,-0.923052,
27,1.218994,1,-0.07326,1,-0.7326,1,0.43956,1,0.010088,1,-0.05044,1,-0.950794,
28,1.25,1,0.80586,1,-0.87912,1,0.21978,1,0.03783,1,-0.040352,1,-0.9659261,
29,1.297119,1,0.07326,1,0.14652,1,-0.14652,1,-0.002522,1,-0.123578,1,-0.9079201,
30,1.343994,1,0.51282,1,-1.02564,1,-0.43956,1,0.02522,1,-0.068094,1,-0.935662,
31,1.391113,1,-0.95238,1,-0.43956,1,-11.42856,1,0.030264,1,0.032786,1,-0.95836,
32,1.422119,1,-0.07326,1,-0.58608,1,-6.88644,1,0.01261,1,-0.03783,1,-0.930618,
33,1.468994,1,0.21978,1,-0.51282,1,-2.71062,1,-0.022698,1,-0.08827,1,-0.973492,
34,1.516113,1,0.87912,1,0.07326,1,5.34798,1,0.035308,1,-7.313801E-02,1,-0.948272,
35,1.562988,1,0.07326,1,0.51282,1,3.80952,1,0.03783,1,-0.13871,1,-0.915486,
36,1.610107,1,0.07326,1,-0.07326,1,4.24908,1,0.030264,1,-0.065572,1,-0.9608821,
37,1.656982,1,0.29304,1,0.14652,1,5.1282,1,0.027742,1,-0.083226,1,-0.948272,
38,1.704102,1,-0.51282,1,-0.51282,1,5.05494,1,0.01261,1,-0.035308,1,-0.9659261,
39,1.75,1,0.21978,1,0.29304,1,2.27106,1,0.017654,1,-0.05044,1,-0.950794,
40,1.781982,1,0.21978,1,0.14652,1,0.80586,1,0.022698,1,-0.083226,1,-0.923052,
41,1.829102,1,-0.21978,1,-0.07326,1,1.24542,1,0.030264,1,-0.080704,1,-0.930618,
42,1.875,1,-0.14652,1,-0.14652,1,-0.07326,1,0.020176,1,-0.080704,1,-0.92053,
43,1.922119,1,0,1,-1.02564,1,1.0989,1,0.01261,1,-0.05044,1,-0.968448,
44,1.954102,1,0.43956,1,-0.21978,1,2.05128,1,0.02522,1,-0.035308,1,-0.9634041,
45,2,1,0.51282,1,-0.65934,1,-0.7326,1,0.030264,1,-0.047918,1,-0.9659261,
46,2.047119,1,0.58608,1,-0.14652,1,-1.0989,1,0.020176,1,-0.08827,1,-0.93314,
47,2.079102,1,-0.07326,1,-0.07326,1,-1.4652,1,0.02522,1,-0.083226,1,-0.9432281,
48,2.125,1,0.43956,1,-1.17216,1,-2.71062,1,0.02522,1,-0.05044,1,-0.950794,
49,2.172119,1,0.29304,1,-0.21978,1,-0.80586,1,0.027742,1,-0.052962,1,-0.953316,
50,2.218994,1,0.29304,1,-0.21978,1,0.21978,1,0.032786,1,-0.080704,1,-0.9432281,
51,2.25,1,0.51282,1,-0.43956,1,-1.24542,1,0.02522,1,-0.068094,1,-0.950794,
52,2.297119,1,-0.51282,1,-0.58608,1,2.9304,1,0.007566,1,-0.06305,1,-0.9079201,
53,2.343994,1,0.14652,1,-0.21978,1,2.41758,1,0.030264,1,-0.068094,1,-0.935662,
54,2.391113,1,-0.29304,1,-0.65934,1,-0.3663,1,0.017654,1,-0.060528,1,-0.9432281,
55,2.422119,1,0.21978,1,-0.7326,1,-0.7326,1,0.02522,1,-0.042874,1,-0.9608821,
56,2.468994,1,0,1,-0.87912,1,-1.90476,1,0.015132,1,-0.085748,1,-0.9104421,
57,2.516113,1,-0.07326,1,0.21978,1,-3.07692,1,0.01261,1,-0.027742,1,-0.9659261,
58,2.562988,1,0.65934,1,-0.21978,1,-2.34432,1,0.027742,1,-0.083226,1,-0.923052,
59,2.593994,1,-0.3663,1,-0.3663,1,0.51282,1,0.015132,1,-0.042874,1,-0.97097,
60,2.641113,1,0.7326,1,0.29304,1,0.51282,1,0.01261,1,-0.052962,1,-0.955838,
61,2.687988,1,-0.21978,1,-0.58608,1,1.02564,1,0.022698,1,-7.313801E-02,1,-0.953316,
