File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 11:02:36
Begin Seconds,82914.91
End Seconds,82956.27
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0.43956,1,0.7326,1,-0.21978,1,-0.494312,1,-0.481702,1,0.76921,
2,0.125,1,0.21978,1,-0.51282,1,-0.29304,1,-0.47918,1,-0.481702,1,0.7818201,
3,0.203125,1,-0.07326,1,0.51282,1,0.21978,1,-0.486746,1,-0.47918,1,0.7843421,
4,0.234375,1,-0.43956,1,-0.07326,1,-0.65934,1,-0.481702,1,-0.47918,1,0.7818201,
5,0.28125,1,-0.07326,1,-0.51282,1,0,1,-0.489268,1,-0.45396,1,0.751556,
6,0.328125,1,-0.43956,1,-0.07326,1,-0.3663,1,-0.469092,1,-0.451438,1,0.7641661,
7,0.359375,1,0.07326,1,1.31868,1,0.80586,1,-0.474136,1,-0.448916,1,0.7465121,
8,0.40625,1,0.3663,1,0.51282,1,-0.3663,1,-0.511966,1,-0.469092,1,0.779298,
9,0.453125,1,0.43956,1,0.43956,1,0.43956,1,-0.464048,1,-0.47918,1,0.774254,
10,0.484375,1,0,1,0.29304,1,0.95238,1,-0.471614,1,-0.461526,1,0.76921,
11,0.53125,1,0.29304,1,0.21978,1,0.3663,1,-0.46657,1,-0.459004,1,0.7641661,
12,0.5625,1,-0.29304,1,0,1,0.51282,1,-0.484224,1,-0.47918,1,0.7818201,
13,0.609375,1,-0.58608,1,0.3663,1,0,1,-0.481702,1,-0.459004,1,0.76921,
14,0.65625,1,-0.58608,1,0.14652,1,0,1,-0.471614,1,-0.46657,1,0.774254,
15,0.6875,1,-0.29304,1,0.51282,1,-0.65934,1,-0.461526,1,-0.448916,1,0.7641661,
16,0.734375,1,0,1,-0.07326,1,0.65934,1,-0.484224,1,-0.456482,1,0.759122,
17,0.78125,1,0.07326,1,0.14652,1,0.21978,1,-0.496834,1,-0.484224,1,0.789386,
18,0.8125,1,-0.14652,1,0.80586,1,-0.3663,1,-0.481702,1,-0.471614,1,0.771732,
19,0.859375,1,-0.14652,1,0.80586,1,0.80586,1,-0.489268,1,-0.451438,1,0.759122,
20,0.90625,1,-0.14652,1,0.21978,1,0.58608,1,-0.511966,1,-0.474136,1,0.76921,
21,0.9375,1,0.07326,1,0.14652,1,0.14652,1,-0.49179,1,-0.451438,1,0.751556,
22,0.984375,1,-0.07326,1,0.21978,1,0.07326,1,-0.484224,1,-0.461526,1,0.754078,
23,1.03125,1,-0.29304,1,0,1,-0.29304,1,-0.514488,1,-0.459004,1,0.7566,
24,1.0625,1,-0.29304,1,-0.51282,1,0.43956,1,-0.519532,1,-0.47918,1,0.76921,
25,1.109375,1,-0.7326,1,-0.21978,1,0.29304,1,-0.501878,1,-0.47918,1,0.7818201,
26,1.140625,1,-0.43956,1,0.3663,1,0.87912,1,-0.474136,1,-0.459004,1,0.774254,
