File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:59:20
Begin Seconds,82748.42
End Seconds,82760.97
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.95238,1,0.07326,1,0.07326,1,1.051674,1,-0.047918,1,0.040352,
2,0.140625,1,-0.7326,1,-0.07326,1,0.58608,1,1.018888,1,-0.047918,1,0.032786,
3,0.171875,1,-0.58608,1,0.51282,1,0.7326,1,1.023932,1,-0.052962,1,0.052962,
4,0.21875,1,-0.51282,1,0.07326,1,0.58608,1,1.016366,1,-0.045396,1,0.042874,
5,0.265625,1,-0.7326,1,0.21978,1,0.65934,1,1.018888,1,-0.03783,1,0.03783,
6,0.296875,1,-0.7326,1,-0.21978,1,-0.07326,1,1.039064,1,-0.035308,1,0.027742,
7,0.34375,1,-0.58608,1,0.51282,1,0.43956,1,1.018888,1,-0.027742,1,0.035308,
8,0.390625,1,-0.3663,1,-0.14652,1,0.07326,1,1.039064,1,-0.05044,1,0.045396,
9,0.421875,1,-0.7326,1,0.14652,1,0.58608,1,1.05924,1,-0.05044,1,0.03783,
10,0.46875,1,-0.51282,1,0.07326,1,0.58608,1,1.023932,1,-0.030264,1,0.02522,
11,0.5,1,-0.3663,1,-0.51282,1,0.51282,1,1.051674,1,-0.030264,1,0.02522,
12,0.546875,1,-0.51282,1,0.07326,1,0.29304,1,1.013844,1,-0.032786,1,0.035308,
13,0.59375,1,-0.58608,1,-0.07326,1,0.07326,1,1.04663,1,-0.045396,1,0.047918,
14,0.625,1,-1.31868,1,0,1,-0.43956,1,1.039064,1,-0.047918,1,0.042874,
15,0.671875,1,-1.17216,1,0,1,0.29304,1,1.03402,1,-0.052962,1,0.040352,
16,0.71875,1,-0.95238,1,-0.14652,1,0.14652,1,1.056718,1,-0.052962,1,0.032786,
17,0.75,1,-0.87912,1,0.07326,1,-0.3663,1,1.044108,1,-0.035308,1,0.03783,
18,0.796875,1,-0.14652,1,-0.51282,1,0.87912,1,1.018888,1,-0.03783,1,0.027742,
19,0.84375,1,-0.43956,1,-0.51282,1,0.21978,1,1.04663,1,-0.047918,1,0.027742,
20,0.875,1,0.14652,1,-0.07326,1,0.65934,1,1.051674,1,-0.055484,1,0.052962,
21,0.921875,1,-0.07326,1,-0.43956,1,0.07326,1,1.011322,1,-0.027742,1,0.020176,
22,0.96875,1,-0.14652,1,-0.21978,1,-0.07326,1,1.02141,1,-0.05044,1,0.042874,
23,1,1,-0.58608,1,-0.07326,1,0.21978,1,1.03402,1,-0.03783,1,0.02522,
24,1.046875,1,-0.3663,1,-0.29304,1,0.21978,1,1.04663,1,-0.042874,1,0.030264,
25,1.09375,1,-0.7326,1,-0.14652,1,0.51282,1,1.044108,1,-0.022698,1,0.017654,
26,1.125,1,-0.3663,1,0.51282,1,0.29304,1,1.03402,1,-0.02522,1,0.02522,
27,1.171875,1,-0.3663,1,0.29304,1,0.65934,1,1.041586,1,-0.040352,1,0.040352,
28,1.203125,1,-0.14652,1,0.43956,1,0.14652,1,1.044108,1,-0.05044,1,0.032786,
29,1.25,1,-0.21978,1,0.65934,1,0,1,1.036542,1,-0.042874,1,0.05044,
30,1.296875,1,-0.51282,1,-0.65934,1,0.29304,1,1.049152,1,-0.027742,1,0.017654,
31,1.328125,1,-0.21978,1,-0.7326,1,0.43956,1,1.04663,1,-0.030264,1,0.030264,
32,1.375,1,-0.3663,1,-0.65934,1,0.95238,1,1.054196,1,-0.035308,1,0.017654,
