File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:50:32
Begin Seconds,82191.2
End Seconds,82232.75
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,0,1,-0.14652,1,0.29304,1,0.032786,1,-1.026454,1,0.045396,
2,0.140625,1,-0.51282,1,0.51282,1,-0.58608,1,0.010088,1,-1.013844,1,0.058006,
3,0.203125,1,-0.58608,1,-0.3663,1,0.07326,1,-0.01261,1,-1.02141,1,0.05044,
4,0.234375,1,-0.65934,1,-0.21978,1,1.75824,1,0.02522,1,-1.003756,1,0.035308,
5,0.28125,1,-0.95238,1,0.07326,1,-0.43956,1,0.02522,1,-1.028976,1,0.045396,
6,0.328125,1,-0.58608,1,0.43956,1,0.80586,1,0.017654,1,-1.013844,1,0.027742,
7,0.359375,1,-1.02564,1,-0.21978,1,0.07326,1,-0.015132,1,-1.003756,1,0.045396,
8,0.40625,1,-0.07326,1,0.3663,1,0.51282,1,-0.030264,1,-1.016366,1,0.040352,
9,0.453125,1,-1.24542,1,0.07326,1,0.58608,1,0.015132,1,-1.028976,1,0.042874,
10,0.484375,1,-0.87912,1,0.43956,1,0.3663,1,0.005044,1,-1.011322,1,0.022698,
11,0.53125,1,-1.17216,1,0.07326,1,-0.07326,1,-0.002522,1,-1.031498,1,0.047918,
12,0.578125,1,-0.95238,1,-0.21978,1,0.07326,1,0.03783,1,-1.006278,1,0.027742,
13,0.609375,1,-0.3663,1,0.51282,1,0.21978,1,-0.005044,1,-1.026454,1,0.05044,
14,0.65625,1,-1.17216,1,0.51282,1,-0.29304,1,-0.020176,1,-1.001234,1,0.040352,
15,0.6875,1,-0.65934,1,0.80586,1,0.29304,1,-0.005044,1,-1.0088,1,0.032786,
16,0.734375,1,-0.3663,1,0.21978,1,0.14652,1,-0.015132,1,-1.0088,1,0.040352,
17,0.78125,1,-1.02564,1,0.3663,1,0.80586,1,-0.010088,1,-1.023932,1,0.042874,
18,0.8125,1,-0.43956,1,0.21978,1,-0.43956,1,-0.01261,1,-1.016366,1,0.052962,
19,0.859375,1,-0.95238,1,0.14652,1,0.07326,1,0.027742,1,-1.013844,1,0.040352,
20,0.90625,1,-1.02564,1,0.14652,1,0.07326,1,0,1,-0.9987121,1,0.020176,
21,0.9375,1,-1.39194,1,0.51282,1,0.58608,1,0.035308,1,-1.018888,1,0.027742,
22,0.984375,1,-0.58608,1,0.21978,1,0.43956,1,0.035308,1,-1.028976,1,0.060528,
23,1.03125,1,-0.51282,1,0.3663,1,0,1,0.005044,1,-1.023932,1,0.047918,
24,1.0625,1,-1.31868,1,0.3663,1,0.07326,1,-0.015132,1,-1.001234,1,0.032786,
25,1.109375,1,-0.7326,1,-0.3663,1,0,1,-0.007566,1,-1.02141,1,0.047918,
26,1.140625,1,-0.43956,1,0.21978,1,-0.43956,1,-0.010088,1,-1.026454,1,0.060528,
27,1.1875,1,-0.14652,1,-0.29304,1,0.14652,1,0.007566,1,-1.018888,1,0.03783,
28,1.234375,1,-0.43956,1,0.3663,1,0.14652,1,0.032786,1,-1.016366,1,0.035308,
29,1.265625,1,-0.43956,1,-0.29304,1,-0.95238,1,-0.01261,1,-1.013844,1,0.052962,
30,1.3125,1,-0.80586,1,0.58608,1,-0.3663,1,0.035308,1,-1.023932,1,0.032786,
31,1.359375,1,-1.17216,1,-0.14652,1,-0.51282,1,0.027742,1,-1.026454,1,0.042874,
32,1.390625,1,-1.17216,1,-0.14652,1,0.3663,1,0.007566,1,-1.028976,1,0.047918,
33,1.4375,1,-0.21978,1,-0.21978,1,-0.14652,1,0.017654,1,-1.006278,1,0.02522,
34,1.484375,1,-0.07326,1,0.21978,1,0.29304,1,0.03783,1,-1.0088,1,0.022698,
35,1.515625,1,-0.80586,1,0.07326,1,0.3663,1,0.01261,1,-1.018888,1,0.027742,
