File Name,DATALOG_1.csv
Date,2010-09-03
Time,¿ÀÈÄ 10:48:23
Begin Seconds,82091.22
End Seconds,82103.8
 
Sample #,Time (sec),XgND,X Gryo,YgND,Y Gyro,ZgND,Z Gyro,XaND,X acc,YaND,Y acc,ZaND,Z acc,
1,0,1,-0.43956,1,0.87912,1,-0.58608,1,0.027742,1,0.040352,1,1.054196,
2,0.140625,1,-0.14652,1,1.17216,1,0.14652,1,0.042874,1,0.030264,1,1.05924,
3,0.203125,1,-0.43956,1,0.43956,1,0.3663,1,-0.005044,1,0.052962,1,1.049152,
4,0.234375,1,-1.02564,1,0.3663,1,0.29304,1,0.020176,1,0.060528,1,1.041586,
5,0.28125,1,-0.29304,1,0.14652,1,0.58608,1,0.020176,1,0.03783,1,1.044108,
6,0.328125,1,-0.07326,1,0,1,0.14652,1,0.035308,1,0.05044,1,1.044108,
7,0.359375,1,-0.80586,1,0.21978,1,0.14652,1,0.020176,1,0.03783,1,1.049152,
8,0.40625,1,-1.0989,1,0.29304,1,0.29304,1,0.01261,1,0.03783,1,1.054196,
9,0.453125,1,-0.7326,1,1.0989,1,0.43956,1,0.027742,1,0.035308,1,1.061762,
10,0.484375,1,-0.29304,1,0.58608,1,0.07326,1,0.032786,1,0.05044,1,1.044108,
11,0.53125,1,0.07326,1,0.43956,1,-0.29304,1,0.030264,1,0.042874,1,1.044108,
12,0.578125,1,-0.29304,1,0.21978,1,0.80586,1,0.030264,1,0.05044,1,1.054196,
13,0.609375,1,-0.3663,1,0.51282,1,0.14652,1,0.045396,1,0.05044,1,1.03402,
14,0.65625,1,0.14652,1,0.95238,1,0.07326,1,-0.010088,1,0.042874,1,1.064284,
15,0.703125,1,-0.7326,1,0.7326,1,0.29304,1,0.022698,1,0.047918,1,1.036542,
16,0.734375,1,-0.43956,1,0.58608,1,0.14652,1,0.015132,1,0.03783,1,1.051674,
17,0.78125,1,-0.80586,1,0.51282,1,-0.58608,1,0.040352,1,0.030264,1,1.056718,
18,0.8125,1,-0.14652,1,-0.14652,1,0.21978,1,0.020176,1,0.045396,1,1.049152,
19,0.859375,1,-0.7326,1,-0.58608,1,0.21978,1,0.035308,1,0.020176,1,1.054196,
20,0.90625,1,-0.14652,1,-0.29304,1,-0.43956,1,0.027742,1,0.045396,1,1.054196,
21,0.9375,1,0.87912,1,0.80586,1,0.80586,1,-0.017654,1,0.045396,1,1.054196,
22,0.984375,1,-0.80586,1,0,1,0.14652,1,0.035308,1,0.040352,1,1.051674,
23,1.03125,1,-0.29304,1,0.29304,1,-0.29304,1,0.030264,1,0.03783,1,1.044108,
24,1.0625,1,-1.02564,1,0.29304,1,-0.43956,1,0,1,0.035308,1,1.056718,
25,1.109375,1,-0.58608,1,-0.21978,1,-0.07326,1,-0.007566,1,0.022698,1,1.049152,
26,1.15625,1,-0.29304,1,0.95238,1,0.43956,1,0.002522,1,0.027742,1,1.061762,
27,1.1875,1,-0.51282,1,0.21978,1,0.21978,1,-0.010088,1,0.045396,1,1.051674,
28,1.234375,1,0.07326,1,0.29304,1,0.80586,1,0.042874,1,0.052962,1,1.039064,
29,1.28125,1,0.07326,1,0.51282,1,-0.7326,1,0.03783,1,0.032786,1,1.049152,
30,1.3125,1,-0.14652,1,0.80586,1,0.21978,1,-0.01261,1,0.042874,1,1.03402,
31,1.359375,1,-0.3663,1,0.14652,1,-0.14652,1,0.03783,1,0.040352,1,1.041586,
32,1.390625,1,-0.21978,1,0.87912,1,0.7326,1,0.015132,1,0.045396,1,1.04663,
33,1.4375,1,-0.87912,1,-0.51282,1,-0.14652,1,0.017654,1,0.035308,1,1.051674,
34,1.484375,1,-0.58608,1,0.21978,1,-0.43956,1,-0.01261,1,0.030264,1,1.054196,
35,1.515625,1,-0.07326,1,1.0989,1,0,1,-0.007566,1,0.035308,1,1.054196,
36,1.5625,1,-0.51282,1,-0.21978,1,-0.87912,1,0.022698,1,0.040352,1,1.054196,
37,1.609375,1,-0.7326,1,-0.14652,1,0.51282,1,0.02522,1,0.030264,1,1.05924,
38,1.65625,1,-0.65934,1,0.87912,1,0.07326,1,-0.002522,1,0.047918,1,1.036542,
39,1.6875,1,-0.87912,1,0.43956,1,0.3663,1,0.030264,1,0.035308,1,1.064284,
40,1.734375,1,-1.24542,1,-0.14652,1,0.87912,1,0.007566,1,0.05044,1,1.049152,
41,1.765625,1,0.07326,1,0.51282,1,0.14652,1,0.040352,1,0.047918,1,1.031498,
42,1.8125,1,-0.7326,1,0.3663,1,-0.07326,1,0.007566,1,0.035308,1,1.044108,
43,1.859375,1,-1.0989,1,-0.51282,1,-0.43956,1,0.035308,1,0.047918,1,1.049152,
44,1.890625,1,-0.14652,1,-0.3663,1,0.07326,1,0.01261,1,0.040352,1,1.039064,
45,1.9375,1,-0.3663,1,0.51282,1,-0.3663,1,0.020176,1,0.027742,1,1.051674,
46,1.984375,1,0.51282,1,-0.07326,1,0.07326,1,-0.010088,1,0.055484,1,1.044108,
47,2.015625,1,0,1,0.80586,1,1.0989,1,0.030264,1,0.03783,1,1.049152,
48,2.0625,1,-1.02564,1,1.0989,1,-0.14652,1,0.042874,1,0.03783,1,1.051674,
49,2.109375,1,-0.51282,1,0.07326,1,-0.58608,1,0.020176,1,0.047918,1,1.044108,
50,2.140625,1,0.29304,1,0.29304,1,0.29304,1,-0.007566,1,0.030264,1,1.05924,
51,2.1875,1,-0.80586,1,0.21978,1,0.65934,1,0.022698,1,0.045396,1,1.044108,
52,2.234375,1,-0.58608,1,0.14652,1,3.663,1,-0.032786,1,0.03783,1,1.031498,
53,2.265625,1,-1.31868,1,0.7326,1,3.15018,1,-0.05044,1,0.027742,1,1.049152,
54,2.3125,1,-1.02564,1,0.3663,1,5.05494,1,-0.032786,1,0.05044,1,1.044108,
55,2.359375,1,0,1,0.43956,1,1.39194,1,0.020176,1,0.060528,1,1.054196,
56,2.390625,1,-0.7326,1,1.31868,1,-0.58608,1,0.007566,1,0.045396,1,1.054196,
57,2.4375,1,-0.3663,1,0.95238,1,0.58608,1,0.058006,1,0.045396,1,1.036542,
58,2.484375,1,-0.51282,1,0.3663,1,-0.43956,1,0.027742,1,0.032786,1,1.039064,
59,2.515625,1,-0.43956,1,0.3663,1,-0.95238,1,0.01261,1,0.03783,1,1.054196,
60,2.5625,1,-0.43956,1,-0.07326,1,-0.43956,1,0.040352,1,0.03783,1,1.041586,
